S,E,I,R,H
50978.8,309.82,172.87,1295957.076232547,589.95
53500.08,474.82,261.66,1303901.1754773401,534.55
55527.55,771.44,415.75,1312142.1647221954,829.37
56689.3,1279.46,690.96,1320916.353966983,1354.53
56410.9,2137.83,1153.13,1330593.3832118385,2244.22
54006.92,3399.76,1864.97,1341742.762484613,3706.63
52389.7,2861.93,2015.42,1354466.5317294686,5284.81
49609.01,3791.56,2167.45,1366884.7309742563,4965.67
44735.3,4845,2882.98,1380708.6402191117,6366.33
38992.05,5362.47,3385.42,1396151.1494639055,7971.13
33776.18,5110.3,3393.76,1412330.0187366733,8707.99
30092.11,4241.98,2978.69,1428016.647981529,8204.46
28101.37,3245.08,2353.84,1442348.307226322,6841.3
28741.96,1647.09,1467.27,1454911.4464711777,5064.99
30823.12,809.33,718.82,1465135.6657159724,2722.69
33419.6,419.68,363.92,1474002.9049887403,1352.43
36279.19,229.42,193.1,1482223.5642335964,696.73
39056.47,243.02,157.3,1490187.6534783884,431.47
41835.58,248.83,160.21,1498118.9927232438,401.7
44565.59,272.03,173.33,1506071.8319680374,412.44
47348.21,220.82,168.53,1514064.3912408678,449.74
50039.75,285.04,170.78,1522025.5504856624,407.44
52582.86,369.81,216.37,1530071.2497305186,481.19
54914.04,491.53,285.75,1538268.1389753118,628.33
57219.97,467.3,331.72,1546659.6382201675,816.24
59605.18,496.22,288.81,1555007.5874929335,758.88
61482.07,747.09,421.77,1563466.0367377272,866.75
62695.26,1144.93,634.42,1572361.5259825825,1298.91
62896.57,1748.5,969.72,1581940.5152273714,1975.84
61622.24,2623.79,1468.72,1592559.724472227,3008.89
58453.73,3745.23,2137.03,1604657.653717021,4486.71
53440.9,4832.64,2865.36,1618573.9129898578,6287.5
50503.99,3517.79,2681.58,1633728.622234647,7520.47
48078.63,3556.73,2233.01,1647282.7814794409,5914.82
44955.96,3726.24,2377.83,1660810.2907242966,5878.33
42051.1,3611.56,2379.77,1674547.059969086,6081.28
39715.64,3277.93,2218.82,1688096.2692419172,5878.64
38159.44,2819.54,1953.73,1701095.118486711,5321.97
37371.74,2354.82,1644.55,1713375.8877315668,4593.8
38187.61,1347.9,1148.62,1724782.0369763616,3715.89
40199.1,704.9,604.85,1734676.4862212173,2208.67
42647.97,387.77,324.03,1743544.735493987,1168.42
45337.73,221.67,182.51,1751881.7647387756,636.24
47969.63,227.34,145.47,1760000.4039836312,398.59
50568.28,240.61,152.82,1768100.3032284195,375.8
53122.89,267.24,165.51,1776225.542473275,401.14
55706.58,226.21,168.57,1784398.9917460517,440.15
58229.45,274.27,165.55,1792550.2509909072,404.28
60623.33,344.89,205.75,1800764.7202357014,462.77
62831.13,452.3,263.72,1809110.7094805571,584.97
65000.91,439.42,310.15,1817626.5487253456,751.71
67313.87,424.37,256.41,1826101.5479981147,704.44
69208.25,620.93,354.85,1834631.3372429705,746.42
70635.93,905.15,511.79,1843481.666487759,1068.63
71343.26,1335.03,744.21,1852831.2057326147,1554.95
71022.38,1947.55,1096.66,1862906.2849774095,2279.11
69282.32,2773.48,1581.86,1874054.3842501817,3325.09
65914.26,3756.26,2179.95,1886560.7434950373,4694.26
63496.13,3030.71,2237.02,1900366.5227398311,5984.27
61494.34,3176.28,1940.35,1913238.5819846783,5034.11
