S,E,I,R,H
50975.31,308.48,171.87,1295962.9062325468,591.85
53498.93,482.14,261.17,1303895.4954773402,532.81
55499.62,783.25,422.05,1312151.9847221952,838.24
56633.16,1300.05,700.27,1320942.593966983,1365.78
56307.66,2163.85,1166.61,1330657.1232118385,2276.27
53845.71,3427.4,1890.81,1341850.492484613,3753.7
52209.57,2870.93,2023.29,1354629.7917294686,5322.82
49444.31,3770.91,2165.6,1367071.9309742565,4979.96
44616.47,4815.4,2867.6,1380872.4502191117,6337.57
38980.19,5316.74,3340.88,1396253.2794639054,7913.33
33869.37,5029.86,3367.06,1412343.9687366732,8619.6
30233.32,4204.02,2940.48,1427951.6079815289,8124.78
28268.03,3228.79,2345.44,1442206.337226322,6763.08
28901.06,1651.04,1464.27,1454751.3964711777,5045.9
30961.33,818.09,721.31,1464986.2057159725,2727.02
33552.36,424.13,367.5,1473862.1149887403,1358.02
36412.91,230.28,196.69,1482085.3942335963,705.07
39180.47,247.99,162.82,1490053.1634783885,438.24
41945.73,258.32,164.57,1497994.9927232438,409.13
44654.31,282.3,176.26,1505969.9119680375,428.4
47413.1,229.15,174.31,1513985.3912408678,463.42
50092.75,294.85,177.8,1521955.7204856626,423.89
52617.22,383.81,224.28,1530014.9797305185,500.06
54905.47,517.51,300.28,1538236.1989753118,648.87
57175.44,493.51,349.5,1546660.1782201675,854.97
59525.23,521.4,303.05,1555048.1174929335,798.51
61344.04,782.57,437.85,1563552.5067377272,910.96
62497.03,1182.34,658.01,1572498.7559825825,1350.14
62617.74,1798.72,995.24,1582143.6052273714,2040.92
61271.78,2669.91,1496.75,1592836.034472227,3080.84
58054.82,3763.55,2161.96,1605013.3137170211,4548.19
53056.77,4824.91,2864.65,1618966.482989858,6319.58
50187.02,3477.52,2646.35,1634121.092234647,7514.8
47867.66,3494.21,2183.89,1647605.391479441,5838.31
44881.11,3649.92,2340.31,1660998.9807242965,5744.96
42082.45,3549.43,2337.82,1674619.789969086,5960.93
39821.48,3231.39,2186.42,1688069.369241917,5781.3
38316.71,2796.43,1926.93,1700987.7584867112,5254.96
37549.82,2338.02,1638.24,1713220.9177315668,4550.95
38365.19,1347.51,1143.17,1724610.2969763617,3704.73
40353.97,711.29,608.9,1734511.1762212173,2203.81
42800.98,390.27,326.02,1743387.235493987,1178
45482.82,223.61,181.59,1751735.6547387755,641.26
48123.48,228.27,147.97,1759843.1239836311,397.33
50720.53,240.69,152.83,1767947.9632284194,380.7
53272.29,268.94,163.67,1776076.282473275,402.62
55849.39,228.34,168.42,1784254.2017460517,439.21
58366.3,282.27,167.54,1792403.4109909073,405.23
60744.56,355.3,210.8,1800628.0302357015,473.27
62924.68,466.31,272.68,1808994.189480557,598.2
65066,450.36,323.22,1817537.4487253458,777.29
67352.89,438.92,263.18,1826041.2079981149,731.05
69213.77,637.06,363.22,1834601.3172429705,770.95
70587.77,935.37,522.4,1843488.996487759,1099.63
71229.93,1369.47,772.12,1852882.1857326147,1601.39
70790.77,2010.38,1128.86,1863042.8649774096,2356.82
