S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
9999999.983999947,0,0,0,0,0,0,0,0,0,0.012999999999999842,0.0029999999999999628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999999.966999942,0,0,0,0,0,0,0,0,0,0.01899999999999977,0.007999999999999903,0.0049999999999999385,0.0009999999999999877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999999.943816021,0,0,0,0,0,0,0,0,0,0.030025962390265365,0.012010384956106146,0.010008654130088454,0.00200173082601769,0,0.00200173082601769,0,0,0,0.00013545240415128144,0,0,0,0,0,0,0,0,0,0,0,0,0.00013545240415128144,0,0
9999999.92151045,0,0,0,0,0,0,0,0,0,0.038131885182804505,0.01573108487236505,0.014048589277875348,0.0020069413254107634,0.003010411988116145,0.003010411988116145,0.0010034706627053817,0,0,0.0002716099727137286,0.0002716099727137286,0,0,0,0,0,0,0,0,0.0010034706627053817,0.0010034706627053817,0,0.0005432199454274572,0,0
9999999.912652086,0,0,0,0,0,0,0,0,0,0.028690185479555527,0.02969540052344277,0.01608344070219588,0.0030156451316617266,0,0.005026075219436211,0.0020104300877744844,0.0010052150438872422,0,0.00040812318803455205,0.000272082125356368,0.000136041062678184,0,0,0,0,0,0,0,0.0010052150438872422,0.0020104300877744844,0,0.0008162463760691041,0,0
9999999.901970562,0,0,0,0,0,0,0,0,0,0.02683912432299921,0.02972123344624368,0.018381930010616363,0.010060895107127212,0.0010060895107127208,0.005030447553563605,0.0030182685321381627,0.0010060895107127208,0,0.0004084782266810736,0.00027231881778738237,0.00013615940889369119,0.00013615940889369119,0,0,0,0,0,0,0.0020121790214254415,0.0010060895107127208,0,0.0009531158622558383,0,0
9999999.872987643,0,0,0,0,0,0,0,0,0,0.043496329012507766,0.030292492379295457,0.023255987072084757,0.008041720351097938,0.003015645131661726,0.006031290263323453,0.00904693539498518,0,0.001005215043887242,0.00068020531339092,0,0.000136041062678184,0,0,0,0,0,0,0,0.002010430087774484,0.006031290263323453,0,0.000816246376069104,0,0
9999999.850855546,0,0,0,0,0,0,0,0,0,0.05056781116608301,0.03478193885541724,0.030208965009388106,0.007185036463384905,0.0030208965009388094,0.004027862001251746,0.009062689502816431,0.003157174462133158,0,0.0008176677671660922,0.0002725559223886974,0,0,0,0,0,0,0,0,0.00604179300187762,0.0050348275015646825,0,0.0010902236895547895,0,0
9999999.84258491,0,0,0,0,0,0,0,0,0,0.0428754959576768,0.046095396331148314,0.03172038302220922,0.010236790974989488,0.0020200201944815138,0.0010100100972407569,0.005050050486203784,0.00922678087774873,0.0010100100972407569,0.0008201400154914995,0.00041007000774574974,0.0005082519527323604,0,0,0,0,0,0,0,0.006431622533594986,0.0040400403889630275,0,0.0017384619759696096,0,0
9999997.895184126,0,0,0,0,0,0,0,0,0,0.5529050546982658,0.5529046505307311,0.00004174836808121474,0.000009887771387656112,0.000011390580187675892,0.00000878913012236099,0.000006591847591770741,0.000005493206326475618,0.000006591847591770741,0.148685479666607,0.44605522649721685,0,4.041675347246564e-7,0,0,0,0,0,0,0.4041745307397813,0.0000021972825305902474,0,0.9989082408884786,0,0
9999997.671032842,0,0,0,0,0,0,0,0,0,0.4241842059542564,0.564776271251171,0.2519788874197408,0.050910411831411824,0.02676251057594521,0.01142029829761366,0,0,0,0.013227135024907636,0.05681488679275624,0.0889721439521861,0.006252096602045497,0.004328374570646883,0.004328374570646883,0.0033665135549475764,0.00048093050784965373,0,0,0.8211642510767538,0,0,0.0002420113129669894,0,0
