S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
9965282,5,1,4,0,1,0,15,8,14,49,70,79,14,24,20,19,17,22,17,22,23,1,0,2,8,7,1,1358,32917,8,4,34,1,2
9965287,0,5,4,1,1,1,9,15,13,51,74,75,16,20,16,12,15,30,25,19,30,2,1,0,1,3,7,1355,32912,6,6,36,0,2
9965281,1,3,10,0,2,0,9,11,16,62,59,78,19,17,20,20,24,20,20,27,17,2,1,3,4,1,7,1356,32910,11,1,37,0,7
9965300,5,4,3,0,1,1,13,14,14,55,58,69,16,12,16,18,16,17,23,26,14,2,2,0,8,6,6,1355,32926,8,5,43,0,3
9965300,5,4,3,0,1,1,13,14,14,55,58,69,16,12,16,18,16,17,23,26,14,2,2,0,8,6,6,1355,32926,8,5,43,0,3
9965300,5,4,3,0,1,1,13,14,14,55,58,69,16,12,16,18,16,17,23,26,14,2,2,0,8,6,6,1355,32926,8,5,43,0,3
9965249,8,6,3,1,1,0,8,14,16,74,67,82,12,20,27,21,18,28,13,20,26,2,2,0,3,6,4,1356,32913,9,4,28,0,3
9965282,6,6,11,2,2,0,6,9,6,59,57,73,15,18,15,24,18,20,21,20,24,2,1,0,4,7,2,1358,32932,8,5,40,0,3
9965274,4,6,5,1,1,2,13,14,15,67,58,79,18,12,13,24,20,20,19,17,25,1,2,1,5,6,4,1358,32916,12,7,32,0,3
9965296,4,6,4,2,0,1,10,4,10,57,65,61,15,17,22,16,15,24,14,22,26,0,4,2,3,4,7,1360,32929,9,2,27,0,5
9965296,4,6,4,2,0,1,10,4,10,57,65,61,15,17,22,16,15,24,14,22,26,0,4,2,3,4,7,1360,32929,9,2,27,0,5
9965258,10,3,6,3,2,1,5,13,12,67,66,66,25,12,18,18,24,20,22,28,20,3,1,2,4,6,2,1358,32925,7,5,34,0,7
9965258,10,3,6,3,2,1,5,13,12,67,66,66,25,12,18,18,24,20,22,28,20,3,1,2,4,6,2,1358,32925,7,5,34,0,7
9965258,10,3,6,3,2,1,5,13,12,67,66,66,25,12,18,18,24,20,22,28,20,3,1,2,4,6,2,1358,32925,7,5,34,0,7
9965258,10,3,6,3,2,1,5,13,12,67,66,66,25,12,18,18,24,20,22,28,20,3,1,2,4,6,2,1358,32925,7,5,34,0,7
9965292,3,2,5,0,1,3,9,11,13,47,60,77,18,20,23,12,21,19,21,19,25,2,2,1,6,8,4,1354,32922,5,7,26,0,3
9965292,3,2,5,0,1,3,9,11,13,47,60,77,18,20,23,12,21,19,21,19,25,2,2,1,6,8,4,1354,32922,5,7,26,0,3
