S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
9999999.999496462,0,0,0,0,0,0,0,0,0,0.0002999999999999448,0.00009999999999998159,0.00009999999999998159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999999.99909646,0,0,0,0,0,0,0,0,0,0.000499999999999908,0.00009999999999998159,0.0002999999999999448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999999.998896461,0,0,0,0,0,0,0,0,0,0.000499999999999908,0.00009999999999998159,0.000499999999999908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999999.904096462,0.03579999999999341,0.003399999999999374,0,0,0,0,0,0,0,0.05069999999999067,0.005199999999999041,0.0005999999999998896,0.00009999999999998159,0,0.00009999999999998159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999999.427004373,0.18727297853173794,0.031095715079560344,0.004143924532805376,0.00023487326581890912,0.00021495654595929056,0,0.000014937539894713898,0,0,0.30012857239023905,0.041197820932178615,0.0071736587998292595,0.0010847410897262622,0.0002249149058890998,0.00020499818602948133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000014937539894713898,0,0,0
9999999.409975275,0.13005969359418462,0.02546938852023093,0.004760558875946206,0.0004107625058157547,0.00007370878843114598,5.9035446996552555e-8,0.00003684304124499673,0,0,0.3581076011237689,0.060849920453001846,0.008657063858770568,0.0011847055379062667,0.0001370828043188062,0.00003688391193907127,0.00023689115451071778,4.541188230504036e-9,0,2.2705941152520186e-8,0,0,0,0,0,0,0,0,0,0,0.0002368956956989483,0.00003684304124499673,2.2705941152520186e-8,0,0
9999999.125805667,0.29303093690970045,0.03891244178698339,0.00410145044289473,0.0006947671747176792,0.00024984255146537197,0.00011994374864951396,0.000014943950259561793,0,0,0.4639228329908504,0.06219291602075537,0.009522162899963908,0.0006640808466075948,0.0005947304616954357,0.00014484459669867047,0.000024902691672407154,0,0,1.2290821671038763e-9,0,0,0,0,0,0,0,0,0,0,0.000019922399154359146,0.000014943950259561793,1.2290821671038763e-9,0,0
9999999.847308062,0.050166256148958956,0.010042631987397712,0.0015976908400687283,0.00014720325039411424,3.75105650745589e-14,2.2228483007146015e-14,0.000036800812594708034,0,0,0.0731717846085492,0.014473659288639652,0.0025669833128758087,0.0003343781180827631,0.0001239407001446532,0.000013538262396650401,2.778560375893252e-15,0,0,0.000013538262367475515,1.389280187946626e-15,0,0,0,0,0,0,0,0,0,2.778560375893252e-15,0.000036800812594708034,0.000013538262368864796,0,0
9999999.749204393,0.0898177680272902,0.010830269115271877,0.0008150827406956235,0.00003679026970572206,0,0,0.00003679026970572206,0,0,0.13064945567031835,0.01599174931538011,0.002340574220139443,0.00013679659131089362,0.00013679659131089362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003679026970572206,0,0,0
9993029.789549833,2272.8154979931164,285.35237096213865,65.4308016144937,7.270095152490633,0.000054757921991722604,0.9087641756414121,0.9087459230007482,0,0,3793.17386612337,438.0253091754362,83.6060394957203,17.266327684459856,2.726301653244568,0.9087733019617441,0.9087550493210801,0,0,0.9087459230007482,0,0,0,0,0,0,0,0,0,0,0.9087550493210801,0.9087459230007482,0.9087459230007482,0,0
