S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
0,0,0,0,0,0,0,50,536,3108,0,0,0,0,0,0,23,229,1242,0,0,0,0,0,0,0,0,0,528983,9465829,0,0,0,0,0
0,0,0,0,0,0,0,50,562,3261,0,0,0,0,0,0,14,199,1320,0,0,0,0,0,0,0,0,0,527329,9467265,0,0,0,0,0
0,0,0,0,0,0,0,48,513,3176,0,0,0,0,0,0,15,219,1235,0,0,0,0,0,0,0,0,0,527899,9466895,0,0,0,0,0
0,0,0,0,0,0,0,55,546,3225,0,0,0,0,0,0,18,225,1264,0,0,0,0,0,0,0,0,0,527881,9466786,0,0,0,0,0
0,0,0,0,0,0,0,37,572,3283,0,0,0,0,0,0,15,213,1298,0,0,0,0,0,0,0,0,0,529130,9465452,0,0,0,0,0
0,0,0,0,0,0,0,52,576,3260,0,0,0,0,0,0,26,215,1313,0,0,0,0,0,0,0,0,0,526565,9467993,0,0,0,0,0
0,0,0,0,0,0,0,53,569,3183,0,0,0,0,0,0,15,219,1277,0,0,0,0,0,0,0,0,0,527361,9467323,0,0,0,0,0
0,0,0,0,0,0,0,52,580,3184,0,0,0,0,0,0,22,183,1231,0,0,0,0,0,0,0,0,0,526963,9467785,0,0,0,0,0
0,0,0,0,0,0,0,59,548,3240,0,0,0,0,0,0,21,231,1311,0,0,0,0,0,0,0,0,0,527381,9467209,0,0,0,0,0
0,0,0,0,0,0,0,32,594,3268,0,0,0,0,0,0,12,212,1255,0,0,0,0,0,0,0,0,0,528056,9466571,0,0,0,0,0
0,0,0,0,0,0,0,41,555,3168,0,0,0,0,0,0,14,211,1298,0,0,0,0,0,0,0,0,0,529217,9465496,0,0,0,0,0
0,0,0,0,0,0,0,44,529,3237,0,0,0,0,0,0,17,225,1254,0,0,0,0,0,0,0,0,0,528629,9466065,0,0,0,0,0
0,0,0,0,0,0,0,63,512,3252,0,0,0,0,0,0,17,188,1234,0,0,0,0,0,0,0,0,0,527829,9466905,0,0,0,0,0
0,0,0,0,0,0,0,38,531,3263,0,0,0,0,0,0,14,209,1311,0,0,0,0,0,0,0,0,0,527983,9466651,0,0,0,0,0
0,0,0,0,0,0,0,46,520,3178,0,0,0,0,0,0,27,223,1284,0,0,0,0,0,0,0,0,0,527298,9467424,0,0,0,0,0
0,0,0,0,0,0,0,47,543,3140,0,0,0,0,0,0,18,226,1272,0,0,0,0,0,0,0,0,0,528925,9465829,0,0,0,0,0
0,0,0,0,0,0,0,40,571,3351,0,0,0,0,0,0,21,215,1383,0,0,0,0,0,0,0,0,0,527422,9466997,0,0,0,0,0
0,0,0,0,0,0,0,43,561,3279,0,0,0,0,0,0,22,221,1293,0,0,0,0,0,0,0,0,0,528725,9465856,0,0,0,0,0
0,0,0,0,0,0,0,53,517,3271,0,0,0,0,0,0,18,206,1318,0,0,0,0,0,0,0,0,0,528470,9466147,0,0,0,0,0
0,0,0,0,0,0,0,52,536,3249,0,0,0,0,0,0,25,206,1287,0,0,0,0,0,0,0,0,0,528492,9466153,0,0,0,0,0
0,0,0,0,0,0,0,49,531,3376,0,0,0,0,0,0,16,207,1316,0,0,0,0,0,0,0,0,0,528828,9465677,0,0,0,0,0
0,0,0,0,0,0,0,58,533,3183,0,0,0,0,0,0,20,216,1227,0,0,0,0,0,0,0,0,0,527458,9467305,0,0,0,0,0
0,0,0,0,0,0,0,49,549,3114,0,0,0,0,0,0,16,211,1317,0,0,0,0,0,0,0,0,0,529263,9465481,0,0,0,0,0
0,0,0,0,0,0,0,47,557,3138,0,0,0,0,0,0,20,222,1245,0,0,0,0,0,0,0,0,0,527947,9466824,0,0,0,0,0
0,0,0,0,0,0,0,34,546,3307,0,0,0,0,0,0,13,240,1279,0,0,0,0,0,0,0,0,0,527088,9467493,0,0,0,0,0
0,0,0,0,0,0,0,57,566,3272,0,0,0,0,0,0,20,207,1247,0,0,0,0,0,0,0,0,0,528273,9466358,0,0,0,0,0
