S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
9968055,8,6,8,2,2,1,22685,0,0,135,149,139,26,29,32,6163,0,0,27,36,34,2,1,1,3,9,7,1072,1368,2,65,9,0,6
9968055,8,6,8,2,2,1,22685,0,0,135,149,139,26,29,32,6163,0,0,27,36,34,2,1,1,3,9,7,1072,1368,2,65,9,0,6
9968037,6,4,14,1,1,2,22690,0,0,145,149,141,22,36,26,6166,0,0,29,39,25,1,2,2,11,8,8,1069,1366,6,67,7,0,3
9968068,8,7,11,1,1,3,22694,0,0,153,128,113,35,25,31,6165,0,0,27,37,30,2,2,1,2,9,6,1072,1369,4,69,7,0,7
9968068,8,7,11,1,1,3,22694,0,0,153,128,113,35,25,31,6165,0,0,27,37,30,2,2,1,2,9,6,1072,1369,4,69,7,0,7
9968074,6,12,4,1,0,2,22679,0,0,132,136,140,27,42,20,6162,0,0,28,40,26,0,6,1,7,11,4,1073,1367,0,61,9,0,5
9968074,6,12,4,1,0,2,22679,0,0,132,136,140,27,42,20,6162,0,0,28,40,26,0,6,1,7,11,4,1073,1367,0,61,9,0,5
9968074,6,12,4,1,0,2,22679,0,0,132,136,140,27,42,20,6162,0,0,28,40,26,0,6,1,7,11,4,1073,1367,0,61,9,0,5
9968060,5,11,9,1,0,4,22683,0,0,152,132,126,27,34,36,6163,0,0,28,29,34,1,0,3,7,6,8,1071,1370,2,63,5,0,5
9968060,5,11,9,1,0,4,22683,0,0,152,132,126,27,34,36,6163,0,0,28,29,34,1,0,3,7,6,8,1071,1370,2,63,5,0,5
9968060,5,11,9,1,0,4,22683,0,0,152,132,126,27,34,36,6163,0,0,28,29,34,1,0,3,7,6,8,1071,1370,2,63,5,0,5
9968058,6,12,8,1,0,2,22690,0,0,141,134,149,22,28,26,6164,0,0,28,39,26,3,2,0,0,8,7,1074,1372,1,73,4,0,4
9968058,6,12,8,1,0,2,22690,0,0,141,134,149,22,28,26,6164,0,0,28,39,26,3,2,0,0,8,7,1074,1372,1,73,4,0,4
9968112,8,6,6,0,1,2,22684,0,0,132,129,104,26,34,34,6164,0,0,31,31,33,2,2,1,5,4,5,1077,1367,3,61,8,0,6
9968080,10,4,8,3,1,2,22687,0,0,138,140,127,25,35,23,6161,0,0,30,28,33,3,1,2,5,6,3,1074,1371,3,63,6,0,5
9968080,10,4,8,3,1,2,22687,0,0,138,140,127,25,35,23,6161,0,0,30,28,33,3,1,2,5,6,3,1074,1371,3,63,6,0,5
9968076,5,8,6,1,3,2,22684,0,0,137,131,143,23,35,25,6165,0,0,22,36,30,3,4,0,6,11,6,1070,1368,4,70,5,0,3
9968076,5,8,6,1,3,2,22684,0,0,137,131,143,23,35,25,6165,0,0,22,36,30,3,4,0,6,11,6,1070,1368,4,70,5,0,3
9968076,5,8,6,1,3,2,22684,0,0,137,131,143,23,35,25,6165,0,0,22,36,30,3,4,0,6,11,6,1070,1368,4,70,5,0,3
