S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
8610677,1,0,1,0,1,0,10,12,10,22,26,22,8,10,2,18,9,12,1,3,0,1,3,1,0,0,0,137986,1251164,7,5,2,0,1
8662429,1,0,0,0,0,0,10,7,13,31,21,29,6,7,6,14,13,11,2,4,4,3,2,1,0,1,1,134189,1203195,5,4,5,0,1
8644625,0,0,0,0,0,0,3,14,10,34,25,26,2,7,6,11,19,11,5,4,2,3,2,1,0,1,0,135596,1219593,9,3,9,4,0
8564866,2,0,1,0,1,1,8,11,8,32,24,28,8,9,3,9,11,13,1,5,4,0,1,0,0,0,0,143351,1291603,6,3,2,0,1
8615268,1,1,0,0,0,0,7,9,5,24,27,28,6,5,8,19,11,12,3,3,3,4,1,1,1,0,0,138102,1246451,12,3,3,0,1
8604151,0,0,0,2,0,0,8,11,8,28,40,34,6,7,8,23,16,10,3,6,1,2,3,0,0,1,0,139330,1256302,9,4,6,3,0
8650385,0,1,0,0,1,0,6,6,12,27,38,29,9,4,7,15,12,12,4,2,5,3,2,1,1,0,0,134769,1214649,10,3,6,1,2
8655905,0,1,0,0,1,0,11,10,10,35,14,30,7,3,8,9,17,14,0,3,4,1,1,1,2,0,1,134162,1209750,12,5,3,1,0
8600364,1,0,0,0,0,2,12,5,11,18,34,29,12,3,10,8,16,14,3,2,5,3,3,1,2,2,0,139675,1259765,6,4,3,1,1
8629047,0,1,0,0,0,0,11,8,5,29,26,25,5,7,7,17,17,13,2,2,4,0,3,1,2,1,1,136941,1233825,10,6,4,0,4
8553068,1,0,0,0,0,0,14,9,10,33,28,29,6,7,4,15,5,10,3,2,3,0,1,2,0,2,4,145142,1301602,4,11,4,0,1
8532790,0,1,1,0,0,0,4,7,7,32,27,23,3,5,8,13,13,12,6,3,3,2,1,0,3,2,1,146264,1320769,8,3,8,1,1
8653407,1,0,2,0,0,0,9,9,7,32,30,25,3,5,7,9,10,10,2,3,6,0,0,0,0,0,2,134576,1211845,5,7,5,1,1
8607328,0,0,0,1,0,0,11,9,7,23,28,31,6,4,7,10,10,12,2,2,0,1,0,0,0,0,1,139756,1252751,3,7,5,0,0
8669323,1,1,0,0,0,0,7,12,7,29,30,22,7,5,6,14,20,8,3,3,4,0,1,1,1,1,0,133531,1196963,14,3,3,0,2
