"Date","Cases"
2018-04-12,1
2019-12-25,1
2020-01-01,2
2020-01-10,1
2020-01-21,1
2020-01-22,1
2020-01-24,1
2020-02-01,1
2020-02-05,1
2020-02-07,1
2020-02-10,2
2020-02-14,2
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-19,1
2020-02-20,5
2020-02-21,1
2020-02-22,4
2020-02-23,4
2020-02-24,4
2020-02-25,3
2020-02-26,2
2020-02-27,2
2020-02-28,6
2020-02-29,5
2020-03-01,18
2020-03-02,15
2020-03-03,15
2020-03-04,12
2020-03-05,23
2020-03-06,34
2020-03-07,33
2020-03-08,51
2020-03-09,69
2020-03-10,103
2020-03-11,105
2020-03-12,129
2020-03-13,154
2020-03-14,143
2020-03-15,186
2020-03-16,267
2020-03-17,272
2020-03-18,273
2020-03-19,268
2020-03-20,343
2020-03-21,274
2020-03-22,266
2020-03-23,338
2020-03-24,274
2020-03-25,299
2020-03-26,290
2020-03-27,335
2020-03-28,313
2020-03-29,286
2020-03-30,384
2020-03-31,325
2020-04-01,490
2020-04-02,375
2020-04-03,450
2020-04-04,408
2020-04-05,361
2020-04-06,457
2020-04-07,427
2020-04-08,432
2020-04-09,458
2020-04-10,541
2020-04-11,538
2020-04-12,488
2020-04-13,647
2020-04-14,626
2020-04-15,652
2020-04-16,607
2020-04-17,665
2020-04-18,576
2020-04-19,386
2020-04-20,521
2020-04-21,435
2020-04-22,464
2020-04-23,441
2020-04-24,419
2020-04-25,428
2020-04-26,353
2020-04-27,472
2020-04-28,402
2020-04-29,398
2020-04-30,407
2020-05-01,440
2020-05-02,324
2020-05-03,278
2020-05-04,309
2020-05-05,333
2020-05-06,266
2020-05-07,340
2020-05-08,365
2020-05-09,307
2020-05-10,268
2020-05-11,387
2020-05-12,344
2020-05-13,312
2020-05-14,368
2020-05-15,455
2020-05-16,324
2020-05-17,301
2020-05-18,362
2020-05-19,386
2020-05-20,388
2020-05-21,349
2020-05-22,276
2020-05-23,281
2020-05-24,275
2020-05-25,370
2020-05-26,323
2020-05-27,291
2020-05-28,248
2020-05-29,342
2020-05-30,286
2020-05-31,231
2020-06-01,359
2020-06-02,231
2020-06-03,231
2020-06-04,234
2020-06-05,218
2020-06-06,189
2020-06-07,162
2020-06-08,208
2020-06-09,174
2020-06-10,204
2020-06-11,175
2020-06-12,187
2020-06-13,122
2020-06-14,145
2020-06-15,215
2020-06-16,186
2020-06-17,175
2020-06-18,154
2020-06-19,169
2020-06-20,161
2020-06-21,145
2020-06-22,183
2020-06-23,166
2020-06-24,150
2020-06-25,281
2020-06-26,117
2020-06-27,136
2020-06-28,122
2020-06-29,149
2020-06-30,142
2020-07-01,99
2020-07-02,110
2020-07-03,107
2020-07-04,101
2020-07-05,79
2020-07-06,197
2020-07-07,155
2020-07-08,141
2020-07-09,108
2020-07-10,125
2020-07-11,114
2020-07-12,101
2020-07-13,178
2020-07-14,159
2020-07-15,178
2020-07-16,138
2020-07-17,131
2020-07-18,115
2020-07-19,101
2020-07-20,129
2020-07-21,153
2020-07-22,111
2020-07-23,104
2020-07-24,122
2020-07-25,90
2020-07-26,69
2020-07-27,102
2020-07-28,76
2020-07-29,63
2020-07-30,71
2020-07-31,14
2020-08-01,11
NA,2
