S,E,I,R,H
50964.39,314.99,173.81,1295965.3762325468,592.08
53467.52,485.73,267.12,1303917.36547734,542.12
55441.59,789.52,427.81,1312197.9847221952,850.76
56548.28,1314.79,710.55,1321002.453966983,1382.33
56209.98,2165.54,1172.6,1330747.1232118385,2308.78
53761.84,3423.88,1885.77,1341942.922484613,3764.77
52131.92,2867.22,2031.04,1354703.4017294687,5314.47
49383,3762.02,2165.4,1367142.3309742564,4980.81
44589.86,4784.43,2863.86,1380933.7702191118,6327.49
38973.57,5297.7,3329.77,1396290.0494639054,7885.79
33905.32,5013.64,3340.95,1412350.3487366734,8590.23
30288.24,4186.36,2936.77,1427918.057981529,8083.52
28323.91,3227.66,2338.7,1442158.327226322,6747.55
28951.32,1645.44,1459.26,1454711.7464711776,5044.03
31019.43,816.35,724.52,1464926.6357159724,2709.71
33606.5,426.33,368.23,1473805.0449887405,1364.06
36461.17,232.81,195.83,1482035.4642335963,710.11
39221.22,249.56,163.23,1490010.4334783885,436.47
41981.26,256.21,165.84,1497960.3027232438,414.11
44683.5,282.74,177.65,1505938.8919680375,430.94
47450.52,232.39,174.05,1513944.9912408676,464.93
50111.42,297.37,180.01,1521932.3204856624,426.44
52623.87,383.16,227.27,1530005.9897305185,505.21
54906.58,519.56,300.35,1538232.9689753118,652.73
57172.52,490.38,346.62,1546669.1082201675,862.56
59529.42,524.34,303.69,1555040.3474929335,789.9
61341.79,794.44,445.67,1563535.0667377273,916.39
62444.11,1215.29,670.97,1572505.7659825825,1375.92
62483.85,1845.33,1027.81,1582198.3152273714,2093.1
61014.77,2735.75,1538.73,1592985.224472227,3172.25
57680.19,3833.96,2204.97,1605274.523717021,4665.08
52586.02,4884.5,2902.13,1619340.1629898578,6427.27
49695.01,3499.09,2669.52,1634568.362234647,7597.39
47407.46,3477.36,2186.23,1648080.101479441,5873.32
44510.82,3596.76,2312.5,1661450.2407242965,5726.21
41853.72,3462.87,2291.55,1674981.349969086,5875.27
39746.29,3148.59,2123.54,1688290.2392419172,5648.52
38363.36,2723.44,1873.34,1701067.6884867111,5107.96
37690.11,2285.73,1590.55,1713180.6077315668,4433.44
38568.81,1318.14,1112.29,1724466.9269763615,3602.68
40587.24,698.91,591.46,1734307.7262212173,2150.82
43043.17,384.57,320.64,1743156.1254939872,1152.93
45726.44,219.41,181.75,1751496.0747387754,632.17
48355.68,226.8,147.13,1759613.2339836312,395.03
50951.66,242.79,152.97,1767714.5932284193,381.66
53497.34,268.78,166.14,1775848.922473275,402.32
56052.23,232.85,172.11,1784043.1617460516,444.8
58571.5,285.25,172.81,1792189.9609909072,413.91
60947.64,366.93,213.86,1800410.2602357015,480.77
63113.42,480.05,280.87,1808783.5194805572,615.3
65224.97,470.68,332.02,1817349.3587253457,803.35
67499.5,451.95,272.81,1825871.9379981149,754.05
69323.85,663.96,377.16,1834450.3972429705,799.38
70646.11,970.63,543.49,1843374.306487759,1143.66
71202.14,1430.83,798.18,1852822.5557326146,1659.85
70661.9,2073.25,1177.47,1863060.2549774095,2437.96
68651.67,2934.48,1685.55,1874420.3442501817,3545.28
64999.02,3926.08,2278.25,1887207.8634950372,4969.67
62462.6,3106.69,2305.29,1901255.8027398312,6230.11
60436.24,3210.75,1962.11,1914240.4519846782,5157.13
57163.09,3674.44,2283.58,1927447.611229472,5363.81
53498.08,3934.53,2497.54,1941357.740502306,6066.68
49933.34,3883.17,2542.26,1955648.2897470999,6437.98
46914.87,3577.42,2408.06,1969825.8789919554,6323.42
44684.77,3111.71,2137.97,1983510.9482367495,5818
44408.83,1859.78,1564.93,1996331.027481605,4940.17
45859.78,964.1,836.45,2007223.4067543778,3015.7
47913.53,524.57,444.92,2016719.8859991631,1604.52
50305.54,290.22,242.76,2025483.5552440176,865.83
52684.35,276.53,183.54,2033896.824488808,508.4
55041.91,277.23,179.49,2042261.7837336636,457.6
57371.37,289,184.32,2050634.893006441,458.41
59736.31,240.66,181.77,2059040.0122512302,477.16
62099.19,261.36,161.4,2067395.971496086,411.68
64369.85,302.77,184.44,2075780.0307408804,435.97
66543.84,358.93,219.03,2084234.459985736,504.45
68704.01,338,244.03,2092789.3892584979,601.32
71035.17,287.12,181.3,2101291.0085033537,540.73
73142.57,387.06,227.57,2109756.567748148,505.19
75035.19,516.03,299.26,2118382.4569930034,655.49
76600,703.9,406.57,2127241.6362377987,875.24
77704.67,978.01,560.3,2136428.2955105705,1199.42
78173.63,1354.28,774.07,2146088.464755426,1664.27
77783.64,1860.75,1078.54,2156386.6840002104,2303.52
77537.79,1659.26,1194.5,2167437.233245066,3045.94
77462.97,1826.08,1066.21,2178192.6924898606,2736.22
76085.57,2432.03,1423.21,2189326.3117626933,3108.38
73577.92,3119.02,1841.11,2201448.2410074887,4095.94
69946.57,3775.75,2281.86,2214701.2802523444,5203.33
65466.17,4286.02,2660.17,2229012.269497139,6264.92
