S,E,I,R,H
77031.81,450.15,277.5,2377561.8137308736,279537.18
80231.74079519373,348.1751335384776,200.68285283654137,2385259.844222076,476.9177521831602
82410.31596059773,408.99572385889826,238.75191792666365,2393704.685793636,535.6225401292629
83513.33283474673,583.2884088329743,336.9369043869931,2403052.5186056783,756.3813030398431
84769.1539632856,767.5430132501365,451.4028107580828,2412226.2484849254,984.8675640095795
85713.84921464788,1015.2264682389081,587.4783886035008,2421629.6407281044,1277.3455226219592
86119.35576752752,1312.8720758377822,765.2941136721271,2431485.7519885157,1644.393165768119
87183.73091776604,963.8395316393639,695.9505535576983,2441584.4796930207,1914.8496452406762
88073.54291371384,1144.3704594302985,657.4009666373278,2451301.4155457253,1564.3837709887327
88342.70860669127,1441.809262788773,839.0567042072655,2461315.123338587,1790.6707986032307
87738.157339375,1918.689404806019,1111.6067358198968,2471933.466165802,2379.461476849758
86220.26531551762,2485.5131639336805,1450.6622193203514,2483329.0493352218,3154.954456781037
83654.15126826408,3132.3469342403273,1839.7647641576036,2495642.7974274433,4082.9311565234284
79957.27082815413,3788.0580110770998,2282.830360332149,2509047.4213338583,5146.6917277111315
77950.89504414197,2727.574837013752,2072.614609120322,2523134.029789876,5870.0764346815695
77717.6597966019,1776.6039357517366,1376.377006599459,2535845.5322251264,4384.880885814581
78412.33432947668,1173.7557259155647,902.2827861635252,2547067.658337404,2885.24556933449
79707.22098323787,769.0382005068415,598.0656056190261,2557340.1460924814,1896.474820812795
80478.39607929862,995.1097358422775,609.0917314451425,2567206.4170187716,1453.0311574431232
80874.7527696865,1186.8363070226103,723.7151117671993,2577392.3735719137,1678.9885401391564
81172.82005789338,1376.437107609266,840.929360918839,2587701.0814676876,1944.1727419884799
81765.38004676977,1120.812420441164,834.2023869290394,2598292.6023279577,2195.2949111153134
82011.3574544608,1359.0171976465952,826.9055694756207,2608772.7147977194,1985.5956646793986
81867.38852693165,1567.79937511368,950.9800736413653,2619541.464639724,2197.6965814659793
81378.63129458568,1738.743179841396,1057.080979108328,2630757.9436595934,2456.3092877055096
81440.03644208904,1343.6179719626543,1005.8422966705095,2642147.6689001806,2647.2285576822264
82480.84109579047,1108.9761678130255,697.1818226117134,2652694.2175350646,2027.6656624168716
82973.43661715575,1275.1726907887191,783.9145178117374,2663000.2663378282,1805.349678140788
