S,E,I,R,H
74864.98,613.99,380.8,2379461.5037308736,278874.1
77084.09447484293,387.58021453725365,244.5946070143329,2388324.1737072356,529.2322017979577
78781.59247722752,443.3989507565896,263.43899555991175,2397274.3189724744,609.0975390690232
80336.79625794562,580.8072880845917,343.8384686711326,2406224.634738943,778.6478999855606
81628.9050674277,749.7665511889933,444.29951316619565,2415391.3771404363,987.1007686484107
82624.5851601381,943.5555236534565,551.4250942928295,2424826.62902151,1230.3818127136267
83249.334701485,1179.3848746252897,694.6362911847666,2434559.9180782572,1537.0070944225397
84609.9469701251,841.8049170999058,621.1332399381809,2444355.115568821,1707.5019345460405
86335.67503574223,913.8316629108756,531.0702045355513,2453396.152982318,1274.4569020911738
86867.43760774906,1202.1537041382396,701.8695044266847,2463167.237095958,1505.271606988432
86900.30506810424,1543.350656461196,899.6297250681798,2473358.6341961743,1964.0183160363902
86448.02920933257,1933.451525223586,1129.9425408404047,2483974.0667585954,2449.930147239494
85127.1224880353,2430.9915260562784,1425.8668598952188,2495285.079520125,3152.781728072421
83159.1559598781,2945.8030466408127,1741.9129743594337,2507228.708552539,3875.437326277743
81920.44002332736,2203.9540716133324,1651.1341618583638,2520109.5860233526,4582.2359749638
82203.65582779396,1486.0261163538419,1128.5908207208495,2531897.90019921,3510.4637921533918
83636.0135267297,960.838816172523,723.9595321852537,2542235.219303867,2258.5290164306884
85059.27416173402,668.75499247112,503.52505666755076,2552182.9166709767,1552.1310136052664
85954.12085678797,932.018017063278,549.6575075617452,2561853.2181839515,1267.4970978952845
86524.11361789251,1164.539762671939,683.7232236790372,2571805.3011561483,1535.975677446964
86661.74720961653,1441.349769411108,852.9119878226012,2582135.25902726,1901.506487216438
87197.38847685658,1208.3018476571883,878.2876562258796,2592729.0192013565,2254.5720181319416
87473.28424370295,1527.6846263801187,899.0065288494987,2603070.019620366,2088.5030002185426
86985.54756987731,1877.0628823700438,1115.1528388628954,2613949.869324302,2484.1035899764915
