S,E,I,R,H
112886.56069880922,596.151604470519,404.6,2331480.4471328002,1217.3
114127.16069880922,743.951604470519,464.7,2340751.116383188,1080
93542.97574126237,594.1437640440981,376.8,2372292.1784315486,837.8
94788.87574126237,748.9437640440981,455.5,2381535.381837574,1040.1
95739.27574126238,912.7437640440982,570.2,2391029.809200731,1290.4
96343.77574126238,1135.443764044098,680.7,2400820.989237033,1574.5
96581.57574126238,1356.6437640440981,849.4,2410925.1357699465,1924.8
96421.47574126237,1667.1437640440981,1006.8,2421355.334909412,2305
97083.67574126237,1254.8437640440982,872.1,2431984.8616653862,2444.9
96857.47574126237,1664.5437640440982,1007.6,2442415.822380255,2266
95937.87574126237,2010.2437640440985,1223.4,2453535.8904125774,2839
94290.27574126238,2414.0437640440987,1488.9,2465278.9551755544,3431
92071.07574126238,2814.8437640440984,1772.8,2477597.0255412306,4094.8
88938.47574126237,3274.8437640440993,2079.4,2490746.5959069063,4822.5
85109.07574126238,3701.3437640440993,2329.8,2504707.47057946,5577
83713.27574126238,2554.0437640440987,1867.1,2518522.8043317725,5440.4
83099.57574126238,1982.4437640440985,1383.3,2531025.129052786,4109.5
83325.27574126238,1471.8437640440982,1043.2,2542489.9872450307,3083.2
82774.77574126238,1748.743764044098,1097.2,2553570.50448899,2648.8
82075.87574126237,1865.9437640440985,1176.4,2564947.548178178,2887.8
81245.67574126237,1939.3437640440984,1245.5,2576526.7004181347,3089
80297.07574126238,2038.0437640440985,1278.3,2588257.390657551,3228.4
79222.07574126238,2093.3437640440984,1330.8,2600149.4203657354,3332.8
78207.97574126237,2096.0437640440987,1351.6,2612097.018208653,3413.2
77160.17574126237,2136.0437640440987,1365.9,2624051.567857596,3424.1
76108.97574126237,2080.6437640440986,1356.5,2636172.334361052,3431.8
76586.57574126238,1291.243764044098,964.3,2647881.100864507,2940.2
76572.47574126237,1420.243764044098,901.9,2658875.9952121708,2257.8
77550.07574126238,1232.0437640440982,815.4,2669224.6687602475,2064.4
77847.77574126238,1232.943764044098,806,2680005.129513956,2055
78075.57574126238,1252.443764044098,789.5,2690850.4578139167,2056.6
77911.67574126237,1286.3437640440982,837.6,2702006.7872478757,2140.3
77718.57574126238,1351.243764044098,872.5,2713173.195341608,2203.6
77832.87574126237,1339.3437640440982,878.3,2724126.2204905613,2189.8
78893.27574126238,860.2437640440982,636.6,2734829.13341613,1961.2
79589.87574126237,970.7437640440982,598.2,2745090.481313817,1543.1
79923.17574126237,995.2437640440982,651.5,2755663.724109311,1655.4
80523.87574126237,1007.1437640440981,644.8,2766038.721789656,1653.4
81098.07574126238,1019.0437640440981,666,2776330.019496934,1666.8
81614.57574126238,1022.9437640440981,669.9,2786704.317204211,1700.9
82442.47574126237,992.2437640440982,639.7,2796737.771653775,1624.8
83947.07574126238,632.4437640440981,460.6,2806557.349310916,1401.5
85661.27574126238,428.14376404409813,326.3,2815869.5326516936,971.3
87568.77574126238,314.44376404409815,226.1,2824820.315296828,667.2
89473.27574126238,217.34376404409812,156.9,2833639.254564522,484.8
91303.57574126238,254.64376404409813,159.4,2842245.0672394186,389.1
93066.57574126238,260.24376404409816,169.1,2850875.2894688933,424.2
94815.77574126238,286.8437640440981,175.2,2859373.257211687,423
96909.47574126237,181.14376404409813,132.6,2867669.7894367287,399.1
98879.97574126237,228.44376404409815,132.5,2875708.3372856034,334.6
100718.37574126237,234.64376404409813,153.2,2883899.2851344766,354.9
102442.87574126237,282.44376404409815,167.6,2891918.759536677,397.6
104347.47574126237,190.54376404409814,134,2899944.712533282,404.7
106166.27574126239,243.14376404409813,146.9,2907640.035546376,345.5
107809.97574126239,289.5437640440981,176.2,2915451.252041337,417.6
109397.87574126238,328.24376404409816,197.9,2923152.0952743525,475.7
110599.27574126239,427.74376404409816,265.2,2931034.166868169,639.4
111822.27574126239,515.8437640440982,313.8,2938791.3298976384,732.3
112888.67574126238,609.8437640440982,379.9,2946533.181506417,881.1
113495.67574126238,792.3437640440982,480.3,2954526.837714145,1102.9
114690.77574126239,596.9437640440981,419.2,2962273.094250828,1153.8
115378.57574126238,812.1437640440981,490,2969948.5170175806,1114
115822.37574126238,971.9437640440981,602,2977632.70339519,1376.7
115440.47574126239,1279.743764044098,794.4,2985914.189772799,1821.1
114761.07574126238,1580.1437640440981,988.2,2994226.6072361623,2247.1
113519.27574126239,1922.4437640440985,1194.6,3003032.848370621,2732
111658.17574126238,2314.6437640440986,1415.2,3012170.404070055,3303
111173.87574126238,1691.8437640440982,1196.3,3021321.3248743997,3411.4
111078.47574126239,1388.943764044098,953.3,3029612.8921907768,2705.4
111640.57574126238,1095.6437640440981,744.2,3037088.31757813,2134
113041.17574126238,838.7437640440982,567.6,3043531.4698935095,1617
113403.27574126239,1042.243764044098,657.1,3050120.1247795965,1498.5
113190.47574126239,1301.3437640440982,801.3,3057098.8354758164,1911.5
112617.97574126239,1525.443764044098,946,3064253.344773766,2230
113163.67574126238,1092.5437640440982,788.3,3071225.387231715,2192.4
112948.17574126238,1425.8437640440982,874.5,3077677.6758547584,1997.2
112682.27574126239,1526.3437640440982,960.6,3084413.2644778015,2229
111926.27574126239,1728.5437640440982,1080.4,3091235.2163188984,2539.4
112106.27574126239,1255.1437640440981,871.7,3098097.5091825565,2547
111399.27574126239,1566.243764044098,975.5,3104532.814124489,2254.3
