S,E,I,R,H
132606.11609673582,936.1596331255513,791.9176755447942,2311171.3597062193,2249.128329297821
132995.3560967358,1231.959633125551,914.317191283293,2321104.3869566075,2103.5641646489103
94219.87657016238,352.9799020693023,218.332,2372014.9094646145,499.04
96158.13482865295,513.6620955931618,311.906,2380544.9984186585,698.458
97951.20802180155,586.536498774488,364.964,2389349.3201854606,831.278
99150.25202180157,764.0364987744879,465.42,2398601.200221748,1045.586
99992.87002180159,967.0404987744878,591.406,2408161.4387546824,1329.052
100383.40402180159,1229.6584987744877,750.424,2418087.2678941214,1682.426
101471.68402180162,961.8324987744877,660.188,2428101.7766501117,1813.544
101848.03602180161,1310.4264987744878,791.772,2437995.207365003,1756.308
101877.94402180162,1589.7384987744877,972.092,2448267.635397291,2183.372
101635.86802180162,1892.3484987744878,1154.998,2458788.960160269,2591.848
100691.4380218016,2227.438498774488,1380.33,2469956.5385259395,3125.606
98429.38602180155,2771.418498774488,1712.358,2482126.1528916084,3881.346
95198.06002180149,3342.430498774488,2074.652,2495232.5475642127,4776.302
93933.51802180146,2487.596498774488,1746.188,2508489.921316514,4963.884
94084.56402180147,1946.3844987744878,1351.136,2520108.364037529,3841.406
94919.61802180149,1587.3024987744877,1088.268,2530735.1182297585,3086.408
93849.88202180146,2032.0264987744877,1247.57,2542061.745473716,2893.674
92342.52202180143,2321.494498774488,1451.968,2553949.7831629007,3419.13
90920.83802180139,2542.720498774488,1590.888,2565902.773402872,3766.534
88639.53402180134,2880.186498774488,1811.26,2578539.8296423005,4308.746
86184.90002180128,3040.168498774488,1927.6,2591642.9713504435,4648.56
83497.10402180122,3183.514498774488,2023.898,2605048.121193373,4942.078
80380.58602180111,3304.812498774488,2128.776,2618899.5128423064,5275.222
77227.66402180103,3340.940498774488,2168.902,2632980.9473457816,5454.016
76451.23602180101,2128.074498774488,1571.432,2646572.4778492576,4856.75
73340.45802180089,2042.5564987744879,1305.212,2661082.388196925,3344.052
72313.20402180085,1755.8004987744878,1160.126,2673593.057744957,3023.042
71924.71402180084,1673.5404987744878,1106.048,2685187.546498679,2876.104
71755.67002180083,1569.1744987744878,1033.446,2696609.6867986335,2698.04
71538.96002180081,1459.6204987744877,969.26,2708074.5662326016,2547.784
71418.63002180081,1404.6484987744877,924.084,2719368.1523263394,2438.238
71150.82602180082,1377.9984987744879,907.868,2730740.047475274,2398.12
72275.23202180084,833.9804987744878,628.866,2741481.1744008763,2003.088
73122.02402180088,875.6704987744879,565.298,2751686.3082985454,1475.014
73158.3300218009,922.1544987744878,607.696,2762545.4630940626,1594.534
73924.44802180093,869.5044987744878,570.394,2772850.194774369,1499.714
74741.14402180094,838.9724987744879,551.756,2782981.266481641,1436.026
75571.75402180098,817.6244987744878,538.106,2793084.252188916,1402.19
76804.446021801,755.1724987744878,495.76,2802756.812638529,1290.098
78452.83202180105,467.58049877448803,347.984,2812329.072295649,1091.866
80415.26602180112,314.1964987744883,228.9,2821326.8896364374,714.666
82368.24402180118,216.78049877448862,156.968,2830187.642281568,485.13
84218.26002180124,140.2484987744892,102.88,2839025.3855492547,315.736
86162.44202180128,159.85849877448905,100.858,2847539.528224156,251.914
88169.45002180133,153.72449877448906,98.182,2855949.852453644,247.798
90149.34002180138,142.5324987744893,92.446,2864266.758196433,232.222
92332.43802180143,87.00449877449029,59.536,2872414.0304214433,178.518
94375.92202180147,100.37649877448995,62.91,2880410.0482703433,153.298
96362.58402180152,104.65249877448983,65.52,2888472.7481191815,161.37
98321.68202180155,114.98049877448962,73.166,2896301.850521402,175.746
100450.24802180158,68.30649877449102,50.348,2904047.829518031,148.142
102281.09202180163,126.06649877448945,77.99,2911711.206531076,185.282
104203.19002180167,136.1304987744893,85.958,2919301.693026037,203.534
105987.9740218017,173.96049877448888,108.024,2926806.156259077,256.54
107786.39202180173,202.1084987744887,125.148,2934212.737852889,295.062
109511.25002180175,237.21649877448854,147.554,2941547.228882366,344.606
111153.28202180179,281.9504987744884,174.402,2948801.9664911344,406.142
112697.5820218018,336.7764987744883,207.96,2956052.8386988817,482.42
114412.22002180183,255.9024987744885,177.902,2963133.9892355707,502.486
115910.72602180185,343.6404987744882,209.746,2970165.124002294,475.954
117287.50802180186,418.07649877448813,257.376,2977066.062379898,588.804
118489.29402180188,514.178498774488,316.804,2984108.532757545,722.622
119480.5880218019,636.130498774488,388.922,2991050.3862208845,891.41
120207.15802180191,786.0484987744878,481.07,2998194.8913553245,1100.17
116733.04002180186,1464.3784987744878,903.778,3008457.2270547696,2075.958
117052.87202180186,1113.0404987744878,777.678,3016439.7538591367,2188.562
117634.66002180187,938.8024987744878,640.372,3023819.7771755266,1794.292
118576.29002180188,767.8024987744878,525.064,3030699.580562889,1467.632
119772.19602180191,618.696498774488,423.438,3037164.6588782542,1184.234
120461.21802180192,821.2684987744879,496.478,3043443.779764339,1129.134
120892.99802180192,978.8384987744878,604.148,3049915.9704605592,1381.182
121223.26802180192,1123.1424987744876,694.932,3056301.4217584906,1596.39
122049.44202180194,856.9204987744879,591.94,3062771.60421641,1654.884
122131.72802180193,1155.8704987744877,700.712,3068937.8848394835,1581.328
121873.62402180194,1385.7804987744878,849.43,3075473.6494625583,1946.482
122280.23202180193,1495.6564987744878,928.32,3081266.227303631,2130.574
122682.02602180195,1148.7524987744878,794.152,3087705.698167315,2215.954
122056.17002180194,1549.4924987744878,943.45,3093924.7211092096,2128.146
121150.04002180192,1820.8224987744877,1122.192,3100444.5982261985,2567.24
