S,E,I,R,H
74864.98,613.99,380.8,2379461.5037308736,278874.1
76192.41,742.27,448.46,2388657.303003647,1039.58
78797.95,457.7,271.33,2397235.769396024,627.25
80386.3,557.91,331.11,2406210.7567536454,747.97
81675.53,757.34,448.85,2415332.6282722126,995.12
82555.62,969.46,567.89,2424853.224799596,1268.64
83143.88,1204.92,710.32,2434624.153945548,1573.28
84287.91,890.75,655.04,2444594.30069598,1815.53
86333.36,914.5,531.11,2453397.7598855104,1276.19
86776.46,1231.49,715.22,2463215.5279122754,1549.85
86671.7,1613.36,938.65,2473478.209645808,2044.91
86001.95,2041.6,1189.71,2484252.230033992,2602.93
84745.03,2514.07,1475.28,2495534.680394108,3269.71
82997.56,2975.99,1761.69,2507340.3405334167,3925.43
81821.51,2215.81,1660.47,2520187.324280158,4613.63
82148.94,1491.15,1132.47,2531943.6129640727,3528.61
83575.84,966.59,727.85,2542285.751178953,2275.09
84994.23,672.88,507.37,2552239.99088185,1565.78
85868.59,943.08,556.89,2561920.4545653565,1285.77
86410.14,1188.5,698.97,2571880.0677603926,1570.88
86468.66,1482.22,877.57,2582262.8179941075,1961.2
86871.78,1256.77,912.97,2592971.4771821005,2351.79
86981.44,1597.68,943.07,2603447.805019293,2197.09
86646.19,1934.42,1150.53,2614196.492615417,2571.23
85540.28,2344.18,1403.16,2625644.7791131246,3173.07
85541.2,1827.45,1342.92,2637225.5956109078,3491.79
86029.27,1595.67,989.08,2648367.196621279,2786.02
85302.87,1936.21,1163.4,2659630.3101635785,2664.57
84009.59,2267.81,1367.64,2671455.6570007433,3160.5
82066.11,2621.74,1604.66,2683884.3152949195,3748.34
79622.3,2922.21,1823.24,2696883.720452189,4316.76
76909.1,3132.36,1971.67,2710311.4485401446,4781.82
74030.8,3238.12,2069.65,2724049.4190814113,5110.27
71703.82,2034.7,1637.98,2739054.002001219,4995.4
71317.14,1852.92,1224.8,2751069.8449024414,3522.69
70253.18,1879.8,1239.95,2763076.117692268,3194.44
69104.18,1821.31,1214.64,2775293.2604820305,3167.99
68578.33,1698.52,1131.6,2786926.217746245,2999.41
70351.32,1474.73,974.76,2796432.4554478317,2553.05
70404.97,1403.36,927.38,2807306.1041810913,2425.96
71221.89,886.45,718.89,2817999.861832606,2197.16
72886.04,486.2,400.91,2827751.789097427,1372.83
74765.95,276.21,227.01,2836900.1517647887,785.83
76808.03,161.24,132.34,2845636.884596178,448.19
78849.81,164.1,104.59,2854095.9072656636,275.59
80835.93,163.26,103.82,2862533.9226992573,255.04
82832.16,167.09,105.72,2870811.830436737,260.7
85049.02,104.16,79.68,2878941.8455326315,215.7
87143.89,109.74,68.49,2886908.833376314,169.83
89155.33,126.82,79.03,2894926.0212199385,184.35
