S,E,I,R,H
1274708.6056565656,29151.444343434345,11186.868686868678,1043367.8354545457,1229509.9292929298
1692698.9110101017,38175.73444444446,13891.42262626262,1268049.6165656561,80905.17535353538
73311.19949494945,3645.3030303030328,1357.1526262626257,90866.28242424164,4851.926767676768
40877.06060606059,3028.870606060604,1284.664545454545,28715.0682828281,3755.58494949495
58646.02939393936,8524.85292929293,3287.2398989898984,74097.59757575761,12208.288484848483
84494.52080808084,8889.03878787879,3665.533232323232,46340.31222222226,14987.626666666667
153585.46020202021,9121.892525252526,3770.825858585858,70002.67232323223,14519.65818181818
247133.43626262632,5841.926767676768,3179.776161616162,149370.93939393898,23544.61525252525
6673.384242424243,1453.1010101010102,648.159494949495,2677.2213131313165,730.4988888888882
31477.422626262625,4961.424141414143,1772.6177777777775,10989.597070707072,5339.805555555556
122749.28282828287,11763.343838383842,4022.37121212121,42575.561515151494,13571.335252525256
307867.09848484845,19332.202020202014,6854.268585858583,129657.64888888905,30808.388989899002
520436.83747474744,23732.87383838383,9263.031919191922,247675.8743434349,39895.62212121211
475244.85494949494,18898.070606060603,8717.084747474746,236928.72969696939,39845.11626262628
364544.65646464634,7736.781717171715,4898.150606060606,245706.93525252488,26670.21525252525
207638.66303030308,2763.765151515152,2002.8374747474757,165371.72363636442,12708.603939393935
259664.9842424241,2386.426161616161,1238.209595959596,210458.40565656606,9715.395858585865
281339.22939393943,1288.7127272727275,1042.2152525252527,244762.5955555549,4742.03191919192
323746.10292929295,3615.8925252525246,1802.4221212121215,283172.81454545446,5129.936464646465
374767.01050505077,6736.171717171717,2858.2920202020205,305112.64434343396,11639.945050505048
421983.3377777777,13774.880404040396,5199.136464646464,280747.32070707064,23562.444444444438
744949.7288888885,13275.572828282828,7072.595050505052,502815.4642424235,47070.308989899
1171736.430707071,20455.55313131314,8773.5203030303,808497.9938383834,45225.658484848514
1022814.2766666663,21569.619797979798,8261.867777777781,666421.6367676768,42770.724343434325
925229.7793939395,22567.58343434344,8736.822626262629,628615.8743434346,47919.70212121212
703963.7777777782,16553.94696969696,8851.549090909093,437909.80313131324,61211.52111111107
194034.42131313126,4344.687979797983,2170.9430303030304,140497.05010101016,11483.393535353534
69475.28595959602,4364.69282828283,2240.020202020202,44157.625858585925,7199.156666666668
54954.40595959595,4857.892828282829,2779.2630303030296,25326.483232323157,7039.060606060606
99007.08878787878,9455.46707070707,3164.509494949495,50133.86858585862,13572.186262626257
199745.1212121212,13282.83424242424,5300.123636363636,97039.0378787883,20617.052929292935
332795.1818181818,11581.384242424245,6372.445555555553,196861.9122222224,29818.936969696962
428020.8282828284,10198.914747474748,5400.95707070707,302480.59101010114,32716.219292929294
845744.8965656565,6809.484848484848,3389.090505050505,918223.4848484851,20506.080808080802
481804.4246464646,10234.660202020204,3947.29292929293,546621.7175757574,18789.32717171717
209811.13898989893,3658.161616161616,2496.270202020203,169884.7526262631,9486.915555555555
147921.56323232313,3077.529191919191,1700.151919191919,114158.67989899013,5624.111010101006
146216.1627272728,3728.1915151515173,2307.474747474748,112472.35101010143,7861.61808080808
348593.16929292935,3231.9768686868683,1850.2044444444437,275816.55949494947,8907.987373737373
38950.17080808082,1937.8488888888887,943.3894949494952,34445.48070707072,2320.442828282829
38614.62414141415,1232.4318181818178,925.4524242424246,35364.01727272727,2513.9337373737367
43001.33171717173,555.7979797979799,696.466565656566,38122.77525252525,2245.415252525252
44341.64393939393,384.83424242424263,304.29282828282817,42249.05161616162,1248.4657575757578
