S,E,I,R,H
16872.101010101007,996.4117171717172,468.25565656565647,11348.454444444464,866.391414141414
35325.34707070708,2806.4319191919185,951.2165656565659,19073.824646464633,3423.64393939394
95897.72474747473,7918.410505050507,2133.098484848485,43572.82060606061,9066.659696969698
267919.22222222225,20377.968080808074,6208.362020202022,105373.57737373738,21493.968787878795
740448.6363636365,50645.0314141414,15168.538484848488,297328.4852525254,59702.41575757577
1574724.9834343432,67992.4064646465,27185.079898989894,748123.0378787881,131911.02333333337
2266691.989898988,27429.883939393945,19171.17535353536,1545570.452020202,168120.902929293
2581093.9493939388,20573.844848484852,9314.997474747475,2157454.019797979,73142.06171717172
2240450.777777778,26585.636363636364,7283.959191919192,2419924.7692929287,40276.72838383839
1220050.6338383837,82887.24151515153,26132.448080808088,2033766.3195959597,73536.5788888889
464873.50262626255,123763.4646464646,44904.40646464647,1120156.4468686872,217181.96959595947
243383.39181818196,90542.58545454545,44264.37767676765,459131.2036363635,280923.60444444447
292364.4374747474,44353.56929292929,29518.640808080803,229496.3089898991,232162.45454545456
365913.61454545456,10743.860505050503,9057.168787878785,270390.5834343432,118403.44434343431
384516.5915151514,2968.647575757575,2530.411717171717,345631.81525252527,26668.53929292928
386375.9393939392,988.0581818181819,947.4884848484847,375056.98989899,8151.863737373738
380408.94333333324,433.29656565656575,257.38383838383834,377634.75343434326,2640.724343434343
369690.17080808076,575.3935353535355,221.141414141414,374317.0160606059,1328.8778787878782
363819.8622222223,772.4859595959596,348.1877777777779,377589.0460606058,1466.050505050505
343621.59787878784,1459.4031313131316,615.2536363636361,360073.1590909091,2237.4408080808084
337296.4706060606,1209.947070707071,602.2112121212123,349638.592323232,4204.275151515152
321070.1893939394,2269.5741414141403,930.718787878788,332476.20717171725,3746.168080808081
307582.46505050507,4271.630202020203,1441.7304040404038,315087.250909091,6795.508989898985
332637.02868686855,7993.88797979798,2731.4823232323233,314644.60363636375,12741.53646464646
379238.59505050495,7474.616161616161,3983.1127272727276,326783.9493939394,22677.21454545454
452102.16929292935,7418.031919191917,3007.1251515151516,375212.41,19435.965252525253
635487.9647474748,16811.739292929287,5902.946565656566,452280.28797979804,22755.401515151516
1049280.7600000002,36587.13646464645,12286.448080808075,651292.4625252526,50430.12313131308
1873806.388989898,68239.32323232324,23535.37535353535,1081107.6423232327,104685.69131313132
3392798.8307070713,111455.23828282824,41527.86020202021,1921166.6742424248,192225.89686868686
5454294.421313133,121900.74454545448,51777.96878787878,3414320.0504040397,298121.3998989898
6787296.090909092,77481.32363636364,41504.49535353534,5192128.010101011,290330.55555555556
6636090.494848486,22050.127171717177,16501.417777777784,6419036.576161617,170700.5142424242
5355135.225353534,49006.76474747473,13314.95949494949,6381431.750606061,60473.05818181818
3186140.483232322,134109.0731313132,42745.29404040404,5099571.807171715,140889.55666666664
1365845.4444444447,195562.06707070715,75840.25969696968,3058170.7930303016,363415.41575757577
518405.6872727275,191766.69202020197,84949.80565656566,1316845.2908080812,516945.3640404041
548207.8852525253,140227.9882828282,67023.65363636358,517211.62212121184,501450.1910101008
943207.3054545454,75302.4521212121,43440.61363636364,517336.09888888954,357596.4444444444
1209978.0584848488,19979.101010101014,16985.530909090918,865028.498080808,192330.4019191919
1344499.0202020202,5091.242424242424,4181.522727272725,1177166.0277777773,56122.44555555553
1373228.7970707074,1826.118282828283,1201.2415151515154,1301006.6435353532,12584.044040404042
1387576.6637373744,809.980909090909,563.4443434343433,1357661.6786868684,4473.133737373739
1391929.548585859,890.0650505050506,407.1607070707072,1377604.2690909093,2558.1635353535357
1365564.769292929,1346.0786868686873,472.8157575757577,1373366.207979798,2402.4242424242434
1336508.462525253,1792.8105050505046,834.9796969696973,1361027.8690909096,3563.7579797979784
1301657.6804040403,1751.0362626262631,929.3182828282833,1327242.1923232323,5313.74494949495
1286895.9065656567,2895.168787878788,1183.7853535353534,1327968.1586868684,5322.890505050506
1225710.829393939,5567.129191919187,2108.128787878788,1272536.473838384,8460.178888888891
1172293.609191919,11138.131313131309,3912.971313131313,1213312.7752525257,16552.453636363636
1176156.527171718,10776.528888888888,5719.643939393938,1160998.9591919195,32005.904949494947
1232654.5384848486,11088.518282828281,3615.597878787879,1182232.6136363635,28584.774141414142
1371899.441919192,22574.388989899,7738.936868686871,1231107.5849494953,31826.77131313131
1760999.601111112,46024.57323232322,15296.99585858586,1386128.8213131318,65740.2758585859
2658373.8711111117,89230.2718181818,30358.77363636365,1802641.4242424248,136998.3712121212
4460219.086464644,161649.26010101006,53907.438787878775,2730351.2342424267,260374.82616161605
7489042.3814141415,233816.49454545457,79953.65696969697,4543957.70141414,441964.405959596
11298215.729696967,244300.88121212134,102468.73484848483,7419273.12030303,602932.1135353534
13377368.639494948,82254.87464646461,58007.029898989924,10852901.899393946,576241.5324242425
13454111.155959597,48679.355151515134,24290.896464646463,12774906.312222227,217143.8968686869
11558191.845959596,95147.84606060605,25944.808080808085,12899477.714242425,143746.5454545455
7793473.920808081,214836.7854545454,64970.79434343435,10959813.004444448,244369.04040404037
3932709.9672727264,352881.292929293,124183.95747474748,7388379.73929293,580943.9655555557
1653887.1792929303,379966.207171717,158886.71464646465,3765375.75060606,927705.4791919192
1134661.1349494953,303851.45292929304,141772.6079797979,1591492.6742424245,981510.5796969694
1476360.5910101016,96821.99232323232,73872.75747474747,1086735.3006060598,746403.8238383837
1713200.4463636363,22574.18424242425,20331.33171717172,1381994.6039393945,258240.9312121212
1823746.5756565651,6775.242020202023,5275.262222222224,1641367.362727273,68009.33090909095
1890682.76959596,1992.2645454545457,1540.4731313131315,1803929.695353535,18719.601111111107
1930188.3620202024,1845.361111111111,931.016565656565,1883646.704141414,6066.383838383835
1945807.7074747467,1824.7372727272732,839.2420202020198,1925753.2859595963,4858.151515151518
1948259.656565656,2389.87313131313,843.8319191919194,1942842.3579797982,5054.674242424243
1915620.103434344,1891.1526262626262,1124.7687878787876,1922470.7410101003,6008.920808080812
1923894.3773737368,2532.3493939393943,1213.373333333333,1930536.1287878796,5544.505050505049
