S,E,I,R,H
9820.034242424226,959.7874747474747,394.2758585858585,6682.994343434363,1000.169191919192
30033.25767676768,2529.7377777777774,1005.4556565656566,15192.244848484823,2937.4483838383817
93132.78343434344,6805.967171717171,2367.2601010101016,38423.95313131312,7761.234747474749
252252.13575757566,16647.401515151516,5647.69404040404,102410.02989898987,20798.658181818173
638586.166060606,36986.553030303025,11728.563535353533,270891.54101010086,49495.83545454547
1390181.8039393937,60115.777777777796,24511.347373737375,649446.2359595962,98622.89898989901
1938064.368787879,23855.520303030306,16335.92515151515,1308539.3594949495,134792.20969696974
2208649.7918181815,16587.678686868694,8443.939393939392,1886803.0177777773,66517.25090909093
1807105.382929293,29691.757575757576,10150.444444444442,2056604.5344444448,44992.247575757574
1023872.0342424243,76892.03272727272,22608.732929292917,1657290.3170707065,73912.34454545454
455542.47787878785,95712.62666666669,40081.814545454545,960763.622121212,192603.31313131328
268335.33090909093,74341.71676767677,37723.524848484856,447944.73494949494,235292.5571717172
289941.70616161614,39992.87464646464,23385.016565656566,255704.57818181795,184115.9935353536
324749.6125252525,9236.362020202021,7858.158686868685,266482.0536363633,95207.52525252521
340154.2031313132,2581.5776767676757,2446.4786868686865,315441.9970707069,24748.18141414141
346333.8286868688,862.3162626262624,744.4141414141415,342160.2322222221,7156.787474747477
352464.2241414141,443.11272727272694,338.4584848484848,355891.2581818184,2156.9748484848487
330265.58494949486,859.4645454545455,338.8157575757575,334400.3248484847,1472.1034343434346
324863.04757575743,1194.6642424242423,563.6011111111109,330443.40969696955,1893.5687878787878
316035.81202020205,1848.434343434344,751.1034343434345,325312.92232323234,3433.6161616161594
300123.1616161616,1371.340909090909,862.8423232323225,306137.3195959594,5001.437979797978
301514.5934343434,2540.492424242424,1212.8686868686868,303074.4040404046,5228.401919191916
322332.941010101,5944.478686868688,2234.506666666667,310463.3473737376,8746.743838383842
372506.6758585861,10450.414040404037,3929.6985858585854,318795.81050505047,18094.417272727274
488769.8852525254,9480.737272727272,5039.626262626262,375741.23989899014,28424.13040404041
635471.8354545452,10343.737373737376,3811.623737373737,489040.1793939394,25898.292828282825
924728.4024242425,22985.136464646457,6995.76515151515,644575.3822222223,31817.93777777778
1486372.7970707077,44240.67111111112,14822.37363636363,950691.1470707073,62886.74787878785
2548322.820606061,83521.61777777779,29596.810505050504,1509498.171717172,126050.23595959588
4319418.65818182,118175.65848484846,44013.50252525252,2610902.794343434,233106.41858585857
6442228.936969693,119760.41161616161,52038.018585858605,4304180.5465656575,306887.8524242425
7494014.966767676,64663.45646464647,35581.01767676769,6168461.960707073,285790.6703030301
6716108.848080808,24911.565252525244,15478.835858585853,6985826.543333336,151174.44444444444
5091583.802424243,69070.77363636365,18379.432222222218,6473746.386262625,78522.07464646467
2792245.9978787885,162163.58949494953,54576.17565656565,4878623.357979797,181265.0690909092
1013063.7651515149,218372.61121212118,87463.78545454549,2606188.2929292936,448288.6112121212
439707.0804040406,201739.97767676768,93924.79151515153,994859.4605050504,572484.9393939399
681268.5110101012,132569.60111111111,65097.62131313135,429630.02535353554,519837.41252525244
1217283.6642424245,68961.37333333331,35766.48727272727,653761.2662626265,340693.82575757575
1489038.5190909095,15585.646363636368,12796.687979797984,1115878.6798989899,158802.80515151512
1616812.5546464645,3259.096868686868,3435.909090909092,1454853.1660606058,39593.993838383845
1635043.00969697,945.39101010101,1196.2016161616161,1569737.9162626257,10051.434343434343
1649227.1995959599,595.41202020202,424.22414141414146,1620427.413737374,2946.96202020202
1640441.9490909094,781.6334343434343,423.3829292929295,1641460.9511111102,2006.8900000000008
1598315.4435353538,1192.2362626262627,592.0213131313131,1616794.957070706,2223.9292929292938
1560381.35949495,1991.1680808080807,842.6475757575755,1606510.5757575764,3728.884444444443
1525645.8766666662,1980.8731313131314,1044.670303030303,1583354.2702020193,5392.9958585858585
1429521.868686869,3647.2091919191907,1190.5741414141412,1516863.7150505038,6357.673838383842
1346670.4711111106,6800.77777777778,2633.6363636363644,1451404.4690909095,9973.168787878787
1229852.7046464644,12838.377676767674,4428.906666666666,1328587.4556565655,20874.848484848488
1191166.8686868686,12646.15191919192,7031.9915151515115,1232248.4682828288,35474.16757575757
1220526.0382828282,12411.892525252526,4552.553131313131,1224035.5251515156,33824.73484848486
1283563.8152525255,26168.117575757573,8730.658181818188,1214066.5126262624,39089.320707070714
1600421.5728282826,52753.81121212122,18020.74747474748,1293941.766060605,79111.48797979798
2469548.207171717,103341.14050505051,36193.54101010101,1606077.4238383842,153715.18979797972
4464625.20919192,182092.92484848475,62246.36404040402,2573797.363535353,305780.3107070707
7758239.3231313145,248227.24000000008,95708.95949494946,4525056.565656562,494943.2657575758
