S,E,I,R,H
74733.2438,626.9356,389.469,2379571.6253310703,278980.2496
76033.6242,756.074,457.3348,2388793.4100033864,1060.6118
78959.977,436.4228,260.0298,2397106.3197959177,590.8064
80618.154,540.9174,320.3266,2406006.678753617,717.1742
81251.5846,951.4574,562.2218,2415449.084472313,1257.4222
81771.7144,1218.3452,719.316,2425236.8191994578,1604.052
81795.8178,1534.549,906.4532,2435446.453945401,2021.605
82562.99,1115.2094,826.447,2445923.3542961422,2317.8874
83250.4748,1292.798,764.831,2455868.62608526,1865.1408
83327.4764,1609.5588,949.6054,2466052.057312219,2110.8312
82899.1216,1970.0938,1166.4112,2476666.2930458062,2598.4294
81979.9028,2361.3746,1405.129,2487739.083634093,3151.5854
80579.8244,2773.3902,1663.162,2499252.6837942484,3758.7212
78873.6814,3207.546,1941.7218,2511052.631333484,4437.0762
77431.523,2311.6488,1764.5564,2524377.3860802064,5028.6266
78853.8766,1382.0038,1064.7768,2535415.5157640954,3391.7142
79977.267,906.7354,696.6964,2545975.332379267,2212.835
81475.5666,612.2064,467.5248,2555859.1730819265,1476.6752
82536.959,816.9426,492.0904,2565443.0225651427,1162.4082
83370.8302,986.8026,591.669,2575228.375960563,1352.4098
83897.9542,1187.3354,712.0678,2585293.910593964,1621.0884
84720.9072,985.3128,724.0146,2595582.7625822527,1879.7436
81973.7494,1028.049,625.2696,2609342.9270194117,1514.448
82404.2748,1213.1488,735.7204,2619574.4886155427,1695.0462
82407.094,1422.4314,864.0316,2630238.8421128546,2005.1274
82740.281,1166.5846,869.5242,2641160.7758111213,2299.1726
83866.2946,1046.2018,654.9248,2651413.79542137,1857.8474
83896.3694,1323.6594,802.518,2662010.243363509,1847.6014
84093.6128,1426.473,865.7068,2672714.9044006187,1991.3044
83696.0478,1694.7796,1031.041,2683754.956894645,2395.034
82722.5688,1982.3798,1213.3184,2695333.2034519343,2834.742
81025.6228,2298.3086,1419.7546,2707580.8925403124,3350.3548
78887.6934,2592.3358,1619.708,2720288.251881735,3883.6606
77320.805,1858.2412,1456.9664,2733794.489400951,4307.4948
76480.6272,1818.7584,1164.8802,2746000.439102613,3223.9592
75181.1862,1954.2982,1252.1932,2758061.3700919375,3117.386
74032.748,2017.0346,1302.1448,2770081.4630819564,3269.6598
72932.6022,2025.1266,1315.7594,2782061.179546062,3337.423
72630.963,1964.004,1281.5242,2793356.774247653,3262.2408
71879.5702,1904.5614,1249.4242,2805008.258380922,3210.6884
72177.9252,1219.9528,985.507,2816443.7068326767,2999.5018
73770.162,658.8618,540.7506,2826555.164697779,1860.3882
75514.8522,379.491,309.6562,2835965.322364541,1077.6676
77433.2766,227.1036,183.8322,2844894.2821963667,623.6434
79243.2782,234.1224,150.0408,2853586.9658660428,393.7522
81344.7032,211.0174,133.1592,2861948.0528992056,330.7674
83232.8174,224.2286,140.4046,2870319.3498365553,342.0874
85361.7886,150.498,112.9196,2878549.499332508,298.946
87359.2824,121.9462,75.6716,2886674.0531766284,186.5306
89338.7974,140.7316,86.016,2894721.656219692,203.1772
91366.1018,144.7228,87.9302,2902512.563306255,205.2662
93396.4422,111.532,81.8096,2910326.587297987,205.0044
95462.6548,91.37,57.4128,2917904.159138787,168.02
97141.8186,194.646,115.5,2925594.248628366,264.4878
98896.33,238.7106,141.0862,2933139.2542924923,313.6004
100415.2922,295.9204,174.0762,2940780.363881457,384.8802
101854.419,403.832,236.6022,2948307.79964867,529.2434
103114.4276,534.6626,311.9006,2955810.013676104,683.4068
104068.64,713.8414,414.9932,2963477.335727089,905.9272
103948.3986,790.5892,575.326,2972045.3530588043,1522.346
104746.267,868.4502,509.2044,2979905.3301757425,1271.5804
104920.2052,1167.4616,678.106,2987663.265348889,1479.0958
104444.9214,1554.023,905.2154,2995924.664744394,1976.0258
101379.2968,2373.1394,1399.1476,3005824.9328630404,3098.1482
98102.0838,3042.2438,1818.2042,3016127.1259934544,4090.2016
93992.1776,3659.3392,2223.7532,3027124.2306556203,5113.5648
92110.3694,2824.654,2139.6778,3037749.7202554913,5818.9038
91397.332,1814.4524,1414.9782,3047868.6258605896,4534.1736
91792.7248,1162.6724,906.13,3056168.9866439714,2916.6182
92787.352,765.156,594.4292,3063314.641134681,1922.8266
93473.5896,855.9894,527.77,3069847.984217089,1341.5038
93978.6382,959.6696,588.676,3076368.484794105,1387.3654
94444.147,1046.8042,642.267,3082713.0597065506,1508.3252
95219.4044,872.5432,637.8224,3089064.687551988,1614.8634
96112.019,915.718,559.7552,3094863.25397192,1396.4216
96769.4002,1014.8266,617.5874,3100705.220591525,1437.0424
97326.9156,1115.1614,677.9714,3106396.0879262565,1571.042
98404.3336,893.883,648.4214,3111929.691203146,1617.2432
99671.08,682.5762,442.5448,3117244.5026952955,1326.2778
100284.509,847.9784,511.0418,3122460.9936094577,1179.6826
100134.662,1109.6288,668.2028,3128114.0201820103,1531.3324
99748.1882,1350.2522,815.1394,3133885.2897598236,1874.1548
97654.408,1625.1234,988.7866,3141213.7649071147,2303.136
96452.5318,1877.5064,1148.5824,3147490.562261302,2682.7932
94830.4428,2113.9986,1302.9278,3154170.2953217756,3088.1632
93976.167,1607.7754,1228.621,3160813.152761726,3394.8734
94328.4,1417.6558,892.7622,3166194.949801414,2527.018
94468.4942,1582.3622,980.4602,3170747.4063653634,2342.1268
93494.6814,1767.798,1099.3446,3176352.1098017497,2626.367
92375.9686,1865.6432,1165.5208,3182031.324124271,2797.377
90864.015,1971.53,1241.1366,3188030.3526692064,3020.1384
89370.6452,2082.6074,1319.487,3193842.4313303796,3235.5838
88680.3076,1540.964,1194.2556,3199607.7955043134,3328.0434
89271.849,920.6346,736.601,3204390.0344700287,2446.2704
90400.3738,560.0432,446.1532,3208066.4823609036,1486.1526
91853.2606,348.363,276.676,3211082.2549983645,923.7872
93189.3974,355.6126,224.2562,3213697.21112974,598.5984
94523.4782,377.6214,235.108,3216213.523416286,568.0656
95953.4684,383.4072,237.771,3218439.2038982054,568.763
97856.8186,291.6534,210.5526,3220318.9453801382,524.3508
99528.5624,275.8222,169.322,3222151.7189223515,430.2606
100955.5042,278.7144,169.364,3224150.3666649093,398.385
102237.2702,331.7502,200.9008,3226041.5347000654,465.021
103384.3906,332.2816,235.705,3228058.2142139757,573.7206
104605.0322,265.1038,186.444,3230025.752956797,570.0174
105938.2326,290.3248,173.3932,3231656.578421734,398.4768
106633.1142,503.257,300.1488,3233512.5721454388,674.358
107024.1066,683.1232,406.2368,3235596.296013267,916.4552
107019.5876,966.797,574.3356,3237863.3132110336,1295.2424
106092.5828,1367.2104,816.0672,3240700.972983529,1838.3522
105059.1434,1683.8292,1008.535,3243768.293751044,2291.561
104139.89,1497.6414,1095.2198,3247139.634748205,2778.4934
102342.2648,1553.8282,973.9352,3251354.9423523434,2782.1838
100987.7342,1856.608,1132.0274,3254432.695321924,2638.4286
98576.3958,2250.0022,1384.1478,3258358.5434585954,3250.5906
95830.0224,2577.2228,1601.5286,3262590.741100207,3815.3024
92361.8184,2870.4162,1810.1918,3267532.20769193,4387.7842
91909.9166,2727.4556,1723.6322,3270095.3761032,4186.6846
89706.7826,2220.9076,1685.1604,3274641.3990638354,4477.7528
89652.8056,1275.4174,1027.198,3278036.8853298523,3408.884
90176.7658,771.535,621.2344,3280051.0453725043,2085.932
91406.4474,444.2066,356.6024,3281012.6805930506,1215.0138
92449.0324,425.5342,271.6458,3281540.0590367164,754.8994
93418.026,449.8662,283.6094,3282000.415505191,695.3698
94466.0154,456.042,287.0884,3282254.821056383,697.3984
95581.4586,414.1484,286.9342,3282493.4754073843,702.1122
97056.0084,325.6188,204.7992,3282379.8850438218,554.0792
98250.0542,351.6774,217.5806,3282312.4194241334,520.371
99269.8154,395.7776,243.9588,3282296.3980114367,578.878
100239.9676,402.9408,274.3212,3282315.1659273775,654.2414
101381.973,261.6124,201.8352,3282349.9374799416,628.8774
102208.8544,341.9746,208.6866,3282330.6194116706,506.2244
102906.8536,510.995,310.5604,3282217.7641057386,717.7322
103424.775,632.6838,383.4606,3282274.2697689063,886.9304
103327.3738,875.3306,530.3574,3282735.0448969873,1221.1454
103258.094,1041.4064,632.0996,3283185.3203678187,1462.0356
102871.0824,1236.4006,751.3716,3283906.8794388385,1740.8476
102546.9454,1121.0766,816.5546,3284819.9334249306,2049.307
102855.0398,937.7116,599.0442,3285446.8841809304,1776.6314
102657.36,1131.4854,688.1164,3285810.177749374,1608.9742
102152.1748,1331.7916,811.6446,3286416.612867446,1887.9504
98642.9978,1836.9432,1133.6602,3289460.389156562,2692.406
96634.5208,2083.5344,1296.3636,3291381.1289143516,3093.9508
94612.7014,2309.7122,1447.9092,3293303.921059865,3477.4054
92946.8878,1992.2314,1471.5462,3295487.1673327577,3782.5712
92950.3416,1195.7914,952.5356,3296998.412869993,3114.2224
93682.5656,737.2812,586.4312,3297221.9823354566,1941.9444
95109.7338,451.83,357.5076,3296432.613200428,1173.1962
96579.9414,383.9244,243.9792,3295188.16693579,715.9614
97829.9028,414.6746,257.1926,3293938.569271149,619.656
99099.4884,441.1094,272.4278,3292597.243345724,648.1316
100674.993,394.644,257.117,3291046.5492282556,606.2714
102483.9288,301.7864,186.5698,3289307.927779501,501.3566
104280.5512,324.956,196.4606,3287365.544685031,460.195
105987.8266,278.396,167.5864,3285581.21584847,390.8544
107545.4228,320.2526,203.538,3283762.935054571,463.2202
109566.1104,186.3734,140.0114,3281731.357121594,424.6816
111332.5592,194.0624,114.4146,3279735.23493674,268.219
113116.1438,248.8892,145.5324,3277605.0909553743,321.9318
114907.3022,299.5556,174.2122,3275427.4230172206,381.7766
116913.9226,300.4814,173.4662,3273111.024359391,377.9012
118722.7548,365.865,210.1414,3270838.423335603,450.058
120581.1238,427.4286,243.3804,3268523.5417105984,514.8952
122552.538,361.6998,243.203,3266213.222404576,550.9186
124544.8474,319.4804,192.2156,3263902.8985646954,532.1784
126128.0302,489.5242,274.018,3261625.6741421004,571.8904
125513.1846,1050.4948,588.5758,3260909.2943543517,1218.7774
125350.179,1573.225,881.56,3259780.288061465,1824.9808
124179.6442,2252.6036,1266.0384,3259391.8285936816,2623.9738
122258.5538,2982.059,1686.7776,3259655.6068786923,3506.7226
118780.9796,3479.087,2302.5842,3261490.8044002256,5035.1574
117857.8062,2429.4722,1768.5686,3263462.952709351,5156.9936
117503.8556,1822.8914,1331.8072,3264301.3340870617,3946.565
118500.3664,1320.4516,961.869,3263618.2898662463,2830.85
119007.3894,1427.4962,832.5624,3262550.283572605,2173.6188
118379.996,1985.4078,1139.0796,3261730.002878126,2437.402
117047.574,2624.4232,1508.737,3261454.5683685304,3221.533
