S,E,I,R,H
74861.28,634.79,394.76,2379430.443730874,278763.96
76144.34,769.82,460.87,2388665.413003647,1079.12
79026.91,555.28,330.06,2396850.4993960243,747.65
80593.18,642.35,378.13,2405872.4167536455,852.43
81953.36,844.79,498.18,2414918.0182722127,1112.88
82647,1064.92,626.07,2424608.2047995958,1394.9
83576.03,1252.81,728.6,2434125.833945548,1624.81
84935.9,898.08,658.82,2443935.20069598,1834.82
85938.43,1072.71,631.39,2453534.1998855104,1500.26
86728.96,1241.33,720.25,2463248.1579122753,1563.81
86750.45,1589.67,925.99,2473435.8096458083,2017.82
85931.98,2052.34,1198.41,2484302.760033992,2633.79
84834.62,2473.81,1461.3,2495499.330394108,3208.07
82495.13,3065.05,1818.84,2507696.560533417,4062.97
81178.32,2279.82,1712.63,2520714.344280158,4763.17
81377.94,1530.76,1175.79,2532631.6829640726,3654.45
82314.45,1053.26,792.43,2543395.891178953,2490.11
83682.07,720.44,544.58,2553467.3808818497,1698.28
84650.72,987.36,588.38,2563062.5545653566,1360.61
85146.81,1199.74,710.1,2573121.0277603925,1604.52
85666.34,1375.53,817.08,2583232.3179941075,1823.8
86164.26,1200.53,878.31,2593769.897182101,2253.06
86295.41,1492.01,885.54,2604297.035019293,2063.73
85829.35,1798.42,1071.34,2615228.522615417,2435.55
84550.26,2215.94,1326.56,2626839.6391131245,3018.53
83704.38,1850.48,1372.06,2639010.2456109077,3585.82
83754.38,1637.82,1028.37,2650560.646621279,2947.42
83044.18,1942.71,1179.46,2661866.4401635784,2756.59
81871.65,2226.7,1366.08,2673636.2670007437,3183.91
80373.59,2496.39,1537.23,2685769.615294919,3634.77
78533.66,2696.22,1685.7,2698335.890452189,4030.08
76190.2,2880.13,1821.71,2711432.5385401445,4439.65
73639.87,2966.26,1908.88,2724872.9790814114,4735.5
72022.65,1965.95,1573.31,2738868.592001219,4783.21
71469.88,1781.91,1173.25,2751039.6649024417,3349.14
70886.71,1758.5,1154.19,2762649.647692268,2975.82
70208.7,1716.3,1127.36,2774381.0304820305,2923.97
69787.77,1632.86,1084.74,2785829.2977462453,2830.26
69411.39,1526,1022.98,2797272.8954478316,2653.22
69895.16,1392.33,924.59,2807829.734181091,2420.03
71120.14,863.92,705.19,2818137.841832606,2132.37
72681.15,494.99,405.08,2827943.719097427,1397.11
74599.03,280.59,235.1,2837054.601764789,795.3
76685.37,161.74,129.53,2845761.854596178,449.35
78748.8,159.8,101.66,2854204.147265664,274.59
80765.73,155.38,100.69,2862615.132699257,242.98
82743.56,162.19,103.59,2870907.460436737,252.62
84766.96,104.66,81.89,2879221.195532631,211.62
86714.89,112.56,68.62,2887334.883376314,175.47
88702.66,127.46,77.46,2895379.6212199386,180.94
90706.24,138.92,83.7,2903182.458106571,195.57
92678.54,119.65,88.21,2911029.9710980635,222.15
