"R0","amplitude","gamma","mu","sigma","rho","psi","S_0","E_0","I_0","R_0"
49.59366914,0.527579941,73.05,0.384272435,45.66,0.794042254,0.417394528,0.135434761,0.772661858,0.001449849,0.090453532
46.1418733,0.501179774,73.05,0.320071956,45.66,0.688987375,0.404927208,0.373794212,0.488138008,0.004113046,0.133954734
47.00496176,0.523536456,73.05,0.331239372,45.66,0.747934335,0.366041035,0.817003601,0.181315991,0.000871281,0.000809127
42.71700199,0.521176791,73.05,0.248243639,45.66,0.694114953,0.366691197,0.011404588,0.053669702,0.007541166,0.927384544
49.91257623,0.504168004,73.05,0.387819807,45.66,0.72038736,0.442931825,0.209780116,0.00023246,6.32E-07,0.789986792
41.89813233,0.481410869,73.05,0.248965351,45.66,0.662077485,0.372647704,0.238497021,0.000105041,0.027896774,0.733501163
50.93572256,0.477067714,73.05,0.424111686,45.66,0.897200124,0.375967815,0.001095658,0.103962119,0.00216254,0.892779683
44.53625148,0.505153332,73.05,0.276828918,45.66,0.677886813,0.398696523,0.117086662,0.118736614,5.30E-07,0.764176194
38.84288549,0.463567362,73.05,0.193559406,45.66,0.594449361,0.411536284,0.376258085,9.67E-06,0.001600859,0.622131387
45.94666649,0.460392438,73.05,0.318056146,45.66,0.707885367,0.388926458,0.102799256,6.33E-06,0.057186925,0.840007489
48.21379966,0.484332063,73.05,0.368992709,45.66,0.775635758,0.381613684,0.03184242,0.183968828,0.002236755,0.781951997
48.29871361,0.51058383,73.05,0.352322448,45.66,0.738042568,0.38001095,0.000132185,6.10E-06,0.079006095,0.920855616
42.52723413,0.49466103,73.05,0.259797469,45.66,0.683498522,0.362686395,0.175783504,0.00063656,0.00075467,0.822825265
49.47125064,0.490718941,73.05,0.391950035,45.66,0.790325105,0.373806676,0.103188576,0.008196113,1.85E-06,0.888613463
43.35540191,0.457420558,73.05,0.277624984,45.66,0.681284617,0.377305107,0.035010694,2.12E-05,4.11E-07,0.96496773
44.11457194,0.485663308,73.05,0.289329767,45.66,0.725284508,0.337793372,0.96958388,3.35E-05,0.00026594,0.030116637
38.03789699,0.478458905,73.05,0.169490151,45.66,0.555344648,0.421709605,0.30418665,0.000273105,0.019969009,0.675571236
49.1091868,0.506361785,73.05,0.368438107,45.66,0.714236097,0.405230338,0.987080649,0.005578256,5.61E-06,0.00733549
38.03703732,0.462138526,73.05,0.167584944,45.66,0.581809276,0.406436303,0.071834355,0.023397726,3.37E-05,0.9047342
