
S,E,I,R,H
73676.595,601.585,454.845,2369869.07946459,278354.08
75397.725,560.115,348.43,2379015.0037397686,983.08
78261.46,361.67,214.915,2387202.3979901704,493.375
79924.255,506.545,304.68,2396027.269388202,680.22
80519.705,764.52,451.745,2405750.1067513516,1017.445
81501.29,962.77,570.56,2415179.7282755985,1270.815
82119.505,1199.82,703.69,2424923.179808499,1572.775
82234.635,1482.945,875.565,2435090.1289321,1945.96
83364.61,1004.295,742.31,2445316.785688076,2111.415
84242.775,1188.79,701.085,2455044.0798832662,1657.985
84742.53,1444.34,844.58,2464907.2479156004,1865.02
84743.7,1747,1026.605,2475184.6146547706,2262.935
83988.535,2157.41,1273.895,2486065.6500205095,2803.575
82278.415,2653.155,1578.99,2497758.50038618,3537.875
79575.46,3188.11,1925.91,2510386.100531179,4382.895
78513.545,2201.185,1684.61,2523485.774283498,4864.595
78838.39,1452.81,1121.95,2535303.022973152,3555.19
79851.705,968.9,744.625,2545990.801165377,2357.06
81324.905,651.785,496.005,2555941.775873845,1574.13
82333.485,863.02,522.685,2565569.8245630963,1236.915
83144.74,1040.35,625.3,2575367.2877637604,1422.605
83565.915,1242.625,746.42,2585536.308003237,1702.645
84326.97,982.415,729.2,2595974.4121683147,1942.91
84661.38,1259.44,755.795,2606293.3800113145,1763.295
84722.505,1471.315,885.34,2616848.472613063,2015.3
84646.155,1702.405,1019.6,2627564.2391165793,2324.87
85077.39,1324.38,986.685,2638548.7106200326,2631.275
85993.115,1176.06,729.02,2649083.021607388,2083.375
86203.13,1433.365,859.3,2659536.995155527,1960.815
85803.9,1720.015,1033.785,2670542.9969983716,2361.485
84424.085,2125.51,1286.77,2682340.460298416,2957.23
82413.17,2523.285,1544.29,2694770.725461372,3605.245
79680.755,2900.57,1801.855,2707941.3985551707,4282.29
75922.7,3253.905,2055.775,2722155.6090732794,5030.48
74176.825,2215,1770.505,2736268.1719988463,5299.115
73186.265,2060.145,1344.155,2748874.139905882,3805.05
72039.225,2055.22,1342.025,2761012.5776985115,3419.355
71032.645,2002.53,1314.115,2773084.1004940937,3382.935
70344.835,1899.445,1254.915,2784835.472735392,3245.33
69899.7,1767.05,1172.43,2796394.0854427284,3055.7
69732.9,1632.865,1083.44,2807592.6091816123,2834.19
70487.26,1017.035,824.56,2818498.236838823,2530.645
72042.65,566.015,470.305,2828445.969109041,1618.245
73889.78,323.125,263.48,2837692.9367541717,912.915
76022.16,182.45,147.645,2846386.2395912786,507.48
78141.715,179.605,114.855,2854778.232266153,306.745
80192.525,174.49,111.26,2863158.6577051645,276.57
82372.445,157.57,98.41,2871288.375447952,242.435
84511.635,115.125,88.14,2879459.8055226593,232.695
86616.82,116.535,73.055,2887424.5433715284,182.83
