loglik0,loglik1,loglik2,loglik3,loglik5,loglik6,loglik7,loglik8,loglik9,loglik10,loglik11
-4125.692887,-4084.965705,,-4084.965705,-3986.037042,-4090.91157,,-3916.745428,-3971.860211,-3981.163203,-3986.948786
-4119.037967,-4106.958786,,-4106.958786,-4003.235597,-4112.016538,,-3933.512778,-3935.205075,-3981.978632,-3951.34578
-4148.192567,-4084.315913,,-4084.315913,-3991.39495,-4142.669866,,-3943.589757,-3959.447137,-3944.137679,-3993.837716
-4150.80439,-4080.454634,,-4080.454634,-3997.784903,-4080.105283,,-3941.508495,-3943.172075,-3961.746915,-3981.094685
-4115.164086,-4056.30263,,-4056.30263,-3979.721157,-4054.031715,,-3941.857052,-3954.83062,-4000.405808,-3988.527663
,,-4039.492947,,,-4057.998986,-4138.913582,,,-3989.917673,-3984.662389
,,-4095.600956,,,-4117.185671,-4092.671659,,,-3982.241741,-3995.641065
,,-4044.590759,,,-4152.356935,-4104.156345,,,-3985.13949,-3980.366643
,,-4011.905455,,,-4089.135064,-4064.854632,,,-3995.690663,-3995.661234
,,-4041.087984,,,-4122.7249,-4085.196659,,,-3997.61604,-4011.543212
,-4156.320878,-3901.555267,-4156.320878,,-4161.40758,,-4220.016363,-3945.31737,-3938.966946,
,-4107.436396,-3922.698388,-4107.436396,,-4210.156338,,-4212.608147,-3956.83133,-3938.67075,
,-4130.950629,-3942.706002,-4130.950629,,-4221.581278,,-4194.22515,-3948.735852,-3938.333864,
,-4124.207956,-3938.456193,-4124.207956,,-4230.233119,,-4257.838038,-3945.169347,-3937.636952,
,-4138.102334,-3940.380083,-4138.102334,,-4194.372421,,-4250.569815,-3981.417659,-3893.709241,
-4144.667955,-4087.354629,-4086.331172,-4087.354629,,,-3993.376462,-4054.164764,-3994.416097,-3969.474601,-4139.277577
-4138.188786,-4114.994812,-4056.670942,-4114.994812,,,-4001.008272,-4074.178676,-3995.266369,-3961.856538,-4135.693043
-4148.343898,-4152.216978,-4038.015444,-4152.216978,,,-3990.673599,-4081.003589,-3997.041189,-3972.914678,-4140.34935
-4129.359171,-4136.5113,-4097.265876,-4136.5113,,,-3967.114995,-4079.096849,-3986.26065,-3974.454215,-4105.872817
-4146.459881,-4136.327334,-4093.651013,-4136.327334,,,-3980.407118,-4101.682865,-3991.691208,-3981.815323,-4150.579638
-3910.590868,-3989.019603,-4109.883821,-3989.019603,,,,-3970.716435,-3964.522843,-3943.097112,-3950.221784
-3914.277839,-3966.99277,-4095.155804,-3966.99277,,,,-3967.672935,-3974.573488,-3931.628484,-3929.966547
-3930.079198,-3993.614052,-4111.751175,-3993.614052,,,,-3990.721619,-3991.848748,-3979.662587,-3993.998042
-3907.429581,-3984.384387,-4125.865091,-3984.384387,,,,-3941.82888,-3957.257698,-3909.629632,-3970.237798
-3962.089821,-3960.603615,-4117.15989,-3960.603615,,,,-3952.715127,-4005.758862,-3940.154723,-3972.200866
-3973.466935,-4133.619187,-4200.770664,-4133.619187,-3981.218215,-4165.570576,-4082.112676,-3990.461737,,-4097.623778,-4021.767546
-3939.997767,-4130.670093,-4126.450103,-4130.670093,-3933.971792,-4214.790446,-4116.834165,-4008.225444,,-4086.13979,-4033.17985
-3950.36019,-4098.258984,-4175.561105,-4098.258984,-3953.363285,-4248.784808,-4094.024202,-4003.091775,,-4071.227321,-4003.362038
-3943.367244,-4136.836127,-4213.023231,-4136.836127,-3971.180222,-4256.21064,-4042.934868,-3981.525975,,-4067.710175,-4027.373294
-3988.847906,-4087.230173,-4188.54032,-4087.230173,-3969.818911,-4229.590851,-4061.398701,-3973.646084,,-4120.551315,-3984.640999
-3926.21051,-4051.776881,-4013.822831,-4051.776881,-3951.922356,,-3956.906087,-3962.819993,-4040.747151,,-3949.977629
-3978.282112,-4036.923259,-4012.513705,-4036.923259,-3947.131284,,-3955.94874,-3928.083918,-4011.627599,,-4007.803453
-3955.577247,-4055.276938,-4035.548325,-4055.276938,-3937.993415,,-3961.438855,-3928.180037,-4037.641205,,-3956.283899
-3938.561419,-4067.169401,-4042.612712,-4067.169401,-3961.851683,,-4016.248487,-3897.675503,-4046.647377,,-3964.730728
-3931.192193,-4057.26579,-4014.724987,-4057.26579,-3927.252224,,-3960.706695,-3939.766538,-4042.542403,,-3952.18149
-4089.573419,-3939.713305,-4169.500494,-3939.713305,-3913.00378,-4096.39002,-4061.875268,,,-3988.305598,-4018.649348
-4058.547877,-3932.937362,-4163.052723,-3932.937362,-3912.739588,-4143.558741,-4048.496915,,,-4001.801281,-4031.809948
-4104.189407,-3953.648095,-4188.452994,-3953.648095,-3916.679614,-4139.064917,-4036.866446,,,-3968.760414,-4046.655495
-4046.552751,-3975.558971,-4186.598568,-3975.558971,-3925.555806,-4139.268071,-4046.633032,,,-4001.59426,-4022.797324
-4056.714893,-3933.784264,-4179.437547,-3933.784264,-3910.307705,-4139.78463,-4045.060965,,,-3998.703065,-4022.314201
-3914.470719,-4082.669282,-4072.083085,-4082.669282,-4030.724844,-4026.762005,-4112.905343,-3978.562674,,-3982.2025,
-3944.34521,-4115.018366,-4088.13914,-4115.018366,-4025.375909,-4045.246631,-4078.439214,-3940.38125,,-4003.669495,
-3924.182069,-4138.190117,-4061.937653,-4138.190117,-4003.582863,-3999.368168,-4071.79134,-3940.843444,,-3966.069814,
-3916.203078,-4079.399666,-4075.350615,-4079.399666,-4057.979494,-4019.868597,-4102.509247,-3949.826892,,-3972.906206,
-3949.225643,-4085.215505,-4041.560227,-4085.215505,-4014.688775,-4047.961669,-4116.227301,-3955.621258,,-3974.182878,
-3944.241704,-3935.002352,,-3935.002352,-4048.362639,-4047.79708,-4005.344985,-4002.07898,-4020.65503,,-4046.423091
-3958.678784,-3965.575291,,-3965.575291,-4068.813281,-4051.509643,-4013.541572,-3987.246978,-4050.23697,,-4023.98938
-3968.413187,-3941.767422,,-3941.767422,-3975.776761,-4043.544639,-4031.428254,-3969.814843,-4046.84841,,-4071.016302
-3929.734459,-3933.651138,,-3933.651138,-4036.647856,-4035.48914,-3987.748134,-4056.973567,-3988.390815,,-4048.488933
-3934.812063,-3959.821997,,-3959.821997,-4057.525262,-4040.348609,-3989.153551,-4006.794648,-4020.747606,,-4098.62563
