S,E,I,R,H
48176.958,209.041,120.14,1288193.2579597812,228.792
50976.592,310.851,173.171,1295957.952232537,360.863
53482.143,485.058,265.672,1303904.8624773507,538.939
55475.631,788.053,426.729,1312166.4917222087,845.021
56592.606,1308.376,704.195,1320970.8969669805,1378.78
56267.58,2168.696,1169.534,1330689.4332118365,2287.855
53811.374,3431.235,1884.86,1341886.9434846274,3758.869
52177.31,2870.709,2030.677,1354654.8857294354,5319.437
49424.721,3765.98,2166.497,1367095.5529742532,4985.288
44611.696,4805.012,2866.816,1380888.3962191122,6332.128
38968.695,5304.96,3343.94,1396273.4944639306,7916.431
33864.942,5033.801,3357.878,1412353.6377366788,8605.508
30246.399,4199.022,2945.796,1427938.2109815425,8103.792
28286.351,3228.151,2337.127,1442196.9682263592,6770.649
28937.771,1649.612,1458.648,1454721.7354711643,5032.179
31011.121,809.402,719.539,1464946.8737159355,2722.967
33608.537,420.834,364.765,1473811.9689887469,1351.775
36463.76,230.651,195,1482035.863233584,700.852
39233.987,247.867,162.17,1490000.4194783634,435.605
41999.5,255.472,163.503,1497945.1377232664,411.846
44716.422,280.628,175.967,1505909.7649680485,425.492
47486.011,229.624,171.772,1513914.5442408575,460.91
50160.814,293.921,176.134,1521890.251485628,420.235
52689.822,378.044,221.963,1529950.460730533,496.813
54991.784,508.069,294.443,1538165.1629753145,641.365
57263.613,485.623,342.451,1546586.9412201482,844.858
59623.28,515.759,298.004,1554960.7544929616,787.175
61447.946,781.319,435.19,1563452.511737743,900.039
62584.895,1189.598,661.319,1572400.3239825754,1347.972
62659.764,1819.724,1010.499,1582065.3182273558,2057.984
61232.274,2713.224,1520.316,1592808.6604722643,3128.706
57938.799,3816.776,2189.659,1605048.4097170455,4618.205
52850.225,4876.193,2901.37,1619085.0249898757,6408.564
49929.84,3511.098,2682.533,1634308.511234657,7588.859
47586.74,3506.077,2204.933,1647853.4014794668,5904.018
44600.73,3643.676,2343.574,1661282.340724267,5780.46
41849.128,3523.041,2326.76,1674890.5609690736,5954.524
39667.792,3190.793,2160.746,1688289.328241915,5733.696
38231.404,2755.489,1897.08,1701143.8554866952,5184.246
37534.354,2309.267,1607.248,1713296.128731611,4476.849
38393.121,1325.603,1125.886,1724621.5569763822,3638.318
40409.681,696.161,596.957,1734482.5372212178,2167.588
42862.582,383.034,321.927,1743336.9624939517,1153.059
45547.389,219.342,181.283,1751675.660738812,633.116
48185.264,227.012,146.784,1759783.7839836467,394.057
50776.87,243.264,153.508,1767888.371228417,378.144
53320.253,270.095,167.812,1776023.0224732503,405.043
55890.024,231.457,171.784,1784207.0867460687,446.06
58403.332,282.318,169.544,1792364.3269908663,410.853
60782.495,356.293,210.703,1800589.1992356721,475.928
62968.314,465.624,272.822,1808951.099480566,603.018
65108.712,453.244,320.825,1817494.2477253713,779.027
67395.129,439.829,262.96,1825998.2799981004,727.383
69255.803,642.832,363.452,1834553.2802429958,771.329
70625.045,940.855,528.228,1843440.4084878003,1100.534
71240.361,1384.39,777.595,1852851.3597325971,1613.789
70784.121,2020.717,1140.019,1863028.0179773674,2373.233
