S,E,I,R,H
48181.65,209.43,119.8,1288188.516959778,229.34
50981.43,313.46,175.12,1295948.556232547,362.29
53471.09,487.51,272.52,1303906.61547734,543.59
55449.47,796.94,427.5,1312182.9947221952,858.97
56552.99,1322.66,711.82,1320988.603966983,1387.87
56183.11,2186.63,1185.04,1330740.4632118386,2316.39
53684.34,3455.31,1901.71,1341973.0524846131,3789.83
52035.62,2883.85,2045.17,1354768.9417294688,5358.59
49242.87,3787.93,2182.93,1367239.0209742563,5009.79
44416.02,4812.41,2872.47,1381071.0202191118,6370.36
38828.26,5281.04,3325.9,1396455.8894639055,7908.27
33763.39,5009.06,3342.88,1412494.9287366732,8560.92
30176.19,4180.68,2932.92,1428039.6379815289,8068.16
28222.31,3219.42,2326.28,1442280.587226322,6739.29
28886.53,1639.15,1448.67,1454793.4164711777,5016.91
30966.93,805.94,714.37,1464999.6957159725,2699.94
33567.09,419.52,365.78,1473853.7149887404,1342.95
36439.89,231.21,193.03,1482061.1442335963,701.03
39206.74,244.05,159.86,1490033.7934783886,432.27
41985.86,252.79,160.94,1497964.0227232438,402.46
44704.64,281.14,174.47,1505922.5319680376,419.71
47481.06,229.31,170.51,1513921.0712408677,456.24
50158.08,294.11,175.97,1521892.9604856626,420.32
52686.54,381.22,221.63,1529950.8997305185,495.86
54992.57,508.25,297.03,1538161.6089753117,641.4
57279.28,484.5,342.75,1546572.0982201674,845.66
59636.24,518.08,296.99,1554946.4874929336,784.85
61459.88,778.87,435.66,1563442.5567377273,899.3
62584.48,1193,663.96,1572394.6959825826,1348.73
62649.29,1830.46,1013.22,1582062.3352273714,2067.26
61195.56,2724.56,1530.28,1592824.0744722271,3144.63
57883.3,3825.12,2191.79,1605093.433717021,4640.31
52782.72,4885.73,2907.26,1619137.1029898578,6416.34
49869.49,3518.56,2676.2,1634367.732234647,7592.85
47523.37,3507.46,2209.36,1647910.961479441,5901.36
44567.45,3637.25,2333.8,1661331.8207242966,5780.26
41822.7,3512.3,2322.2,1674932.289969086,5944.88
39653.31,3185.11,2149.72,1688320.5192419172,5723.08
38265.44,2734.58,1887.33,1701140.4784867112,5157.72
37598.92,2294.37,1596.89,1713256.8177315667,4446.69
38450.47,1326.3,1124.73,1724564.6669763615,3615.3
40472.14,701.13,595.86,1734416.2062212173,2169.04
42927.28,385.52,322.85,1743268.8554939872,1155.88
45599.81,220.99,183.99,1751618.8847387754,634.51
48233.44,230.48,148.08,1759730.843983631,400.37
50823.65,248.1,154.54,1767835.7232284194,383.5
53362.12,275.17,172.6,1775971.292473275,410.99
55922.54,234.02,175.03,1784168.7617460517,455.51
58423.81,288.21,171.83,1792335.6709909074,420.34
60780.26,365.33,217.43,1800575.6702357016,486.09
62945.18,477.68,278.92,1808956.0794805572,617.29
65061.56,466.17,327.57,1817521.7287253458,797.96
67346.71,446.97,268.17,1826034.3479981148,744.1
69191.61,651.2,370.36,1834602.1972429706,787.82
70524.67,954.08,538.66,1843517.126487759,1119.62
71120.78,1398.93,790.89,1852943.1057326146,1638.92
70644.39,2033.19,1152.5,1863142.7949774095,2403.04
68768.87,2865.37,1640.21,1874417.5942501817,3471.16
65276.03,3818.55,2234.41,1887082.2234950373,4845.42
62823.51,3049.51,2267.34,1900990.0227398311,6086.15
60860.71,3171.14,1927.16,1913890.5419846782,5068.43
57652.68,3654.84,2258.28,1927002.9212294722,5283.83
53975.94,3942.95,2491.34,1940877.660502306,6032.65
50332.04,3928.83,2565.5,1955180.6897470998,6450.39
47169.7,3651.13,2457.72,1969447.6789919555,6409.73
44802.67,3191.58,2195.45,1983255.6982367495,5936.08
44424.21,1919.86,1611.16,1996209.3374816051,5078.24
45819.07,994.3,865.34,2007205.0267543779,3112.92
47852.3,539.2,456.65,2016754.755999163,1657.16
50238.9,301.84,248.16,2025533.1752440175,889.65
52612.27,281.11,188.6,2033959.2644888079,521.23
54948.48,282.66,182.2,2042347.0737336637,469.57
57275.26,293.56,187.39,2050723.373006441,465.13
59626.36,246.47,185.32,2059140.6022512303,482.51
61993.59,261.67,163.56,2067499.1014960862,423.33
64281.41,303.39,184.4,2075867.8907408803,438.13
66456.41,357.81,217.73,2084324.309985736,507.38
68599.45,337.44,243.21,2092895.329258498,601.46
70929.11,285.19,181.74,2101398.5585033535,538.58
73039.56,387.94,227.61,2109858.657748148,498.58
74918.72,520.41,298.2,2118495.6069930033,657.85
76481.87,702.29,405.11,2127362.8362377984,875.56
77596.19,969.22,556.81,2136549.0555105708,1196.23
78090.77,1338.95,766.88,2146193.8447554265,1644.99
77721.34,1847.87,1065.18,2156475.2240002104,2274.31
77502.53,1644.15,1175,2167507.103245066,3020.15
77467.05,1789.98,1051.01,2178239.9124898603,2700.16
