S,E,I,R,H
48180.04,207.46,118.24,1288193.656959778,230.24
50979.63,306.13,171.89,1295960.9162325468,355.74
53498.06,471.19,259.33,1303909.15547734,531.93
55509.69,774.54,416.99,1312155.6847221954,826.42
56659.5,1289.43,696.32,1320930.823966983,1354.35
56367.17,2140.85,1157.06,1330630.1632118386,2256.85
53962.17,3400.78,1866.26,1341785.202484613,3717.25
52367.4,2856.86,2017.21,1354492.1117294687,5268.64
49613.4,3768.61,2164.75,1366905.9909742563,4961.7
44741.58,4841.93,2877.73,1380710.6802191117,6350.14
39023.42,5370.82,3359.95,1396136.8994639055,7960.67
33847.21,5084.16,3397.41,1412281.4787366732,8673.76
30154.05,4238.92,2976.45,1427960.007981529,8198.12
28151.18,3248.72,2364.56,1442284.137226322,6834.41
28794.01,1648.27,1471.13,1454854.3564711777,5080.56
30861.87,809.76,720.14,1465095.1657159724,2730.39
33463.27,421.34,366.56,1473954.9349887404,1349.78
36318.65,229.72,192.35,1482184.5542335964,703.35
39104.81,241.38,159.92,1490138.3334783884,430.04
41873.51,245.09,158.25,1498086.7627232438,402.11
44605.65,269.73,167.7,1506039.7019680375,406.44
47395.86,217.34,163.06,1514025.6912408676,440.12
50102.48,278.13,165.78,1521974.7304856626,396.87
52675.46,357.12,208.24,1529999.4697305185,464.62
55027.68,478.58,274.46,1538178.7389753119,602.6
57354.37,454.07,321.79,1546548.3982201675,791.61
59770.69,484.31,279.41,1554863.3874929335,736.16
61682.16,731.38,405.1,1563298.3267377273,841.05
62937.82,1119.4,619.97,1572158.9459825826,1260.29
63183.07,1725.77,954.85,1581691.6152273715,1930.17
61948.91,2600.37,1454.73,1592270.464472227,2978.32
58819.62,3723.59,2127.89,1604322.5437170211,4439.04
53768.33,4852.43,2863.77,1618228.2829898577,6272.71
50787.38,3545.02,2683.17,1633416.412234647,7560.31
48334.24,3583.38,2242.46,1646991.071479441,5937.95
45129.23,3770.58,2414.71,1660555.8007242966,5917.14
42120.4,3676.17,2411.65,1674381.2699690862,6172.05
39716.72,3330.3,2248.81,1688012.8292419172,5971.12
38093.32,2874.54,1979.21,1701080.7584867112,5399.72
37282.16,2390.49,1669.8,1713404.5477315667,4663.83
38078.05,1363.87,1164.07,1724860.1769763615,3767.24
40082.32,710.96,609.5,1734782.5562212171,2235.72
42532.01,390.36,326.49,1743655.6454939872,1176.26
45207.18,221.63,185.56,1752009.3047387756,638.9
47840.98,232.3,148.61,1760120.9539836312,399.36
50436.53,241.62,153.6,1768230.2632284195,383.59
52991.5,265.43,163.5,1776360.7524732752,403.96
55570.92,226.68,169.8,1784532.9517460517,436.76
58093.83,274.52,164.41,1792686.7609909072,402.68
60486.96,342.2,201.4,1800908.1302357016,460.11
62711.54,445.2,257.44,1809243.679480557,574.95
64898.58,428.16,302.13,1817748.1587253457,739.39
67234.73,409.51,248.09,1826203.8679981148,685.77
69159.66,600.18,338.86,1834716.6672429706,722.07
70635.66,876.08,493.81,1843528.986487759,1028.4
71403.82,1290.51,721.31,1852838.0657326146,1506.81
71149.27,1901.02,1063.47,1862859.1149774096,2214.37
69522.33,2721.43,1548.15,1873900.1342501817,3237.33
66248.76,3689.54,2143.3,1886329.6134950372,4604.93
63891.79,2995.89,2197.15,1900045.5527398312,5894.11
61925.02,3167.3,1915.92,1912841.3119846783,4964.63
58605.87,3716.64,2276.71,1925969.5012294722,5288.18
54732.36,4052.56,2545.71,1939957.2605023058,6137.89
50805.09,4086.78,2652.61,1954462.5797471,6643.54
47387.84,3814.79,2553.65,1968969.9489919555,6656.54
44788.35,3339.7,2282.13,1983035.2182367495,6193.95
44280.08,2001.65,1684.44,1996198.3974816052,5282.52
45621.65,1035.87,888.85,2007337.3667543777,3248.74
47647.82,554.75,473.62,2016926.715999163,1707.58
50021.17,305.81,257.74,2025737.3552440174,918.55
52384.46,287.67,190.73,2034178.384488808,538.96
54716.82,287.92,185.45,2042570.2237336636,480.31
57031.5,299.78,191.96,2050956.343006441,473.57
59384.93,247.19,186.8,2059379.8322512303,494.97
61747.89,265.79,164.51,2067739.731496086,424.1
64011.06,306.28,191.52,2076128.2307408804,440.65
66183.99,366.76,217.71,2084587.799985736,519.57
68349.55,336.81,245.68,2093143.3892584979,602.81
70676.97,283.65,183.22,2101650.7585033537,538.77
72772.74,383.18,225.28,2110132.567748148,504.11
74662.54,513.58,296.37,2118760.4469930036,652.27
76239.59,693.81,401.73,2127616.9762377986,865.53
77385.14,947.84,544.93,2136793.365510571,1183.37
77933.4,1304.36,744.17,2146408.5147554264,1611.82
77690.11,1773.73,1025.34,2156620.4340002104,2203.08
77596.07,1573.83,1130.36,2167528.523245066,2902.24
77670.35,1732.93,1014.86,2178129.81248986,2588.16
76476.71,2325.03,1350.06,2189115.3217626936,2953.9
74144.26,3007.99,1769.67,2201064.3710074886,3913.7
70698.16,3669.06,2205.79,2214132.4502523444,5023.44
66324.05,4223.59,2611.14,2228265.849497139,6091.42
61515.86,4502.92,2852.44,2243272.57874193,6954.98
58560.43,3207.56,2535.71,2258559.2680147556,7219.71
58481.27,1824.3,1507.58,2271768.98725955,5144.85
59513.98,1060.78,876.87,2282849.6765044057,2994.3
61192.36,628.55,509.83,2292689.7357491967,1751.03
