S,E,I,R,H
11775.146010010008,977.4143893893887,381.33262862862836,7760.049168168166,841.7280470470473
33672.81088988992,3119.943043043046,1048.553897897897,15862.529304304253,3222.227551551553
105273.60788688694,9111.31177577578,2883.6225185185194,41464.9941451452,9608.353057057058
312859.07919019053,23580.522358358354,7488.011922922919,118917.45248848878,27847.07995895895
836623.5404594595,50468.502261261245,16606.49639639641,344431.35495495464,69712.88456056065
1845372.722361359,78256.49399799801,29844.589485485467,876111.5472982969,140959.41825725726
2550599.682978981,27036.896295295297,19410.226626626612,1763524.6801591595,176867.20667767778
2851908.3053293247,15745.913977977962,8986.542901901901,2455511.0309099117,73388.93588688683
2343383.803947945,30990.875650650654,9828.414133133141,2681017.57997998,39810.33184784784
1240464.2177177153,93941.75230830826,29584.03553553561,2148042.0153713715,90353.99299699691
446389.3494734731,132361.31442542534,52026.68847947952,1159762.6145145127,247912.313109109
249793.22199699725,99865.73537437427,49972.84846446444,429126.4690450446,329936.29123523517
358425.84944944986,49608.49959959961,28848.58887287286,235851.49107507514,249054.05925025028
433621.7539129131,10609.060435435422,9852.495646646637,318986.303694695,116020.8436426426
464018.17637537484,2606.959934934933,2362.2570320320324,414585.27971871867,29393.430109109137
468729.4982822818,974.0815815815837,781.7847037037051,454391.18115615606,7022.399263263262
470170.861497498,453.4590430430432,360.14041141141155,469639.5041831831,2462.367371371372
462207.4430340339,808.2079039039035,407.1486596596605,469009.28169769666,1601.7129289289312
453362.0255295297,1178.4866056056073,529.7212212212202,463779.7864574572,2402.2705265265263
440888.76876876864,1710.3891641641626,744.8338088088084,453981.6495495503,3432.494133133133
433436.0528278284,1427.793229229228,844.5012522522517,443012.31431431486,4856.418542542548
427477.7519509507,2840.466402402401,1017.7871311311302,434884.44811911904,4808.523607607608
429564.96960860887,5096.207766766768,1849.8613173173196,427720.2706706708,7902.763387387384
462583.6151261259,9531.017792792796,3437.0914914914906,431611.8145505497,14873.022122122116
534434.3639949946,8797.365201201206,4775.378302302305,460710.6661051054,26781.09553453452
634129.6604914911,10249.662037037027,3665.2308308308316,529514.190766767,23591.060960961
870514.5571881889,21943.428219219208,7358.840036036026,646087.3859419423,31474.6302302302
1380341.6325115112,46547.28652552551,15692.259234234234,890452.247022023,64583.903094094116
2427747.169169165,88156.15694094099,30094.13900300301,1418238.474874874,135517.51921521523
4294847.054053053,135724.99848248265,50332.30290690694,2493506.097816816,248502.08247347345
6634369.519883892,139630.67626726744,61464.92705105109,4282070.629404404,357535.4753593594
7992185.130086092,83407.7524684684,45019.25448548545,6370148.134125129,343791.99376976927
7477549.088444457,27978.809560560578,17976.25119519522,7488960.452043041,187129.65276876913
5838303.716075068,68402.72554154163,18212.85382882882,7179384.676672667,78881.87623523518
3352484.238974976,160191.98289389405,52469.00940040043,5520804.697861865,189332.4572732733
1370964.4620530528,228010.7885125126,86866.72049549548,3198547.6490850872,434666.95492993033
542997.192488488,218761.50923323326,95536.83899799807,1328699.9611521554,600396.270501502
654082.5820930938,154170.93011411396,76390.63038938935,529779.984028028,552355.0270260256
1159187.5780570563,86168.18030430427,46852.573289289234,603168.7289599606,395254.85012112086
1512630.2823213204,21608.3594594595,18463.026462462465,1073311.9405315309,208669.12587687714
1648349.6395395389,5040.013197197196,4416.708379379377,1436238.9744934922,58984.80300700701
1707212.694598599,1411.0048408408425,1260.395026026028,1625573.8923313322,14053.465881881884
1719926.4044834827,645.819963963963,456.9216966966969,1693666.0899459424,3885.9447437437407
1715529.4293293292,865.1612402402399,420.3586146146145,1715852.6245035017,1913.1678788788802
1687150.119219216,1297.7485235235242,541.4475915915922,1711398.2571361354,2550.659034034036
1629414.4935175187,1972.1032032032037,826.4184184184204,1678006.801085084,3614.411195195191
1571717.7329169172,1875.0801191191188,1017.5343653653648,1627436.974078079,5681.7783343343335
1494114.9807367362,3286.2043153153127,1213.612803803804,1567541.410546546,5812.945704704696
1390247.8750660648,6142.278678678679,2181.9754464464468,1487718.8652652723,9391.042626626635
1275699.7591341336,11503.218818818821,3969.553917917921,1382860.7797787795,17794.66361961961
1194627.096327329,11877.603234234222,5698.9205115115155,1268820.14934034,32115.845164164144
1164951.8469469475,11566.160839839851,4236.111742742742,1199427.7779539542,29779.078229229213
1179000.1578018009,24984.19342442443,8122.959510510512,1160080.8371211214,35230.03223623623
1373926.5859449469,49668.79979079077,16665.988827827834,1179675.002001,72575.99983083084
2034705.145561563,100610.10788288276,32942.26706306307,1392654.166285284,147673.73563963966
3635765.112183185,177322.45496596597,62109.56954454451,2085607.9767517517,284055.9403403405
6618276.1878518555,257098.1862622624,95768.11558658683,3704803.0668418393,494243.1015015012
10625502.959630642,268711.5396636636,114099.98055655665,6591467.335774776,684199.3131691697
12986466.323514532,91802.29527027016,67108.66066066067,10179929.389785802,635084.7133843845
13497290.687446434,50999.5413163163,24285.37846246246,12469912.522618614,244026.1085395393
11866053.209408415,77438.18408408407,25294.894270270277,12979068.394113125,130911.3695605607
8236088.286317308,192490.78776276277,58633.02749849854,11308049.759734726,222637.032871872
4324110.623774778,323873.7502742739,116029.4317507508,7828770.681717713,525363.8924434438
1794712.7466576572,367831.6068228225,153814.64331431434,4151506.24466066,865231.9293333322
1041319.3112302306,301257.7225135134,139529.70178078086,1760058.6110100108,957127.9776566561
1247952.3146736734,101953.57561961949,75374.56296296297,1007897.5744454472,739174.0721481479
1454320.3039429432,25173.547163163166,20538.886005005028,1173691.2251891908,268248.2386546548
1569174.44418819,6923.498874874882,5603.405821821819,1405148.0436436427,69792.7887637638
1627250.4897057076,2106.137328328331,1645.4408718718737,1548101.7599159146,19305.38669769772
1679072.0372012006,2075.0241241241283,965.5155465465465,1627967.7443753758,6521.4472712712695
1711656.6566156163,2109.31543943944,989.3924924924925,1675608.5770480481,5661.924324324324
1736613.9618618651,2517.9752142142165,1095.1511151151135,1715653.3010760762,5976.156995995998
1740119.7313313338,2027.5598708708708,1191.5477387387393,1733451.558502502,6889.960119119114
1736033.1015014984,2590.9004004004028,1034.0089329329312,1742928.7693133124,5806.952951951963
1703051.4981771768,3697.9031021020974,1498.0776776776756,1725140.724324321,7256.829748748747
1656802.9918628617,5785.588619619623,2208.66644144144,1694097.7150900897,10597.913352352354
1622363.3132132145,5332.187562562584,2812.168007007005,1653215.8582422428,16069.127902902908
1594546.2950060053,4118.725029029027,1753.5779779779814,1622316.7318828816,13354.141916916913
1549889.94089189,8037.7478718718685,2788.0771611611667,1578731.1151861865,13098.55551451451
1536751.7597907917,15017.867898898918,5241.449525525534,1548653.2318078072,23049.170921921945
1577774.0235025005,28018.3508298298,9601.036972972961,1519023.2558598618,43336.51241241234
1823036.8635675684,52990.67241641644,17915.31967067066,1570382.0023213218,81818.75953453446
2519590.988587589,93940.60360760764,32772.005116116125,1842661.6372332317,151879.47646746747
3963994.2080070046,150642.14880480472,53464.275994995034,2547369.9052012013,265554.2822572574
5695744.117356366,97025.8299259259,55785.508947947914,3946062.7146146134,390139.7338778774
7370194.464108097,89976.26776776745,35475.121896896926,5546914.945144143,259256.33694094096
9565066.094165178,110562.57617617602,43853.478274274275,7359466.4243994,249945.8096086087
11506398.267723719,107645.89026526491,46836.57116216218,9430822.055955956,288522.9219529528
12268768.346682662,99829.99587988,43511.011642642676,11172367.96716615,281509.2238228231
11184622.62897997,123114.23881481485,44815.64235835839,11771959.798309322,262030.30713813816
8471794.731722731,191748.22660160105,68651.94009909907,10650933.802353356,325784.8765525525
6033325.890289285,137472.86044444438,77619.95773273276,8134935.598654648,496144.72069569555
4802217.641200204,59946.646357357364,35654.178849849864,6118638.981756759,346809.4655615614
4070961.6107217246,25953.17634034035,16299.440159159154,4893096.347451449,155972.26265865873
3592760.1045805775,11835.769669669664,7221.5774164164095,4118789.2491201186,69147.78446346342
3096989.845676674,14325.269413413414,5517.75135135134,3601728.5510220146,35205.46562162161
2534147.25323724,19643.694213213217,7502.586442442451,3070188.7661651666,39442.91869369372
1981392.8912662729,26358.104879879873,9976.319803803817,2505249.2849489492,54785.246117117174
1545028.5029989986,23229.095574574563,12125.876595595595,1956154.9484484496,72989.26987387387
1251511.5312872867,26121.380219219223,9858.783782782775,1552144.716952952,64139.38456856852
1032033.0926836834,34504.11158258261,13544.022338338316,1240175.0690650647,71279.1384624625
